Location,Complex,Area(m²),Price(₩10k),Built_Year,Contract_Date,Floor,Station,Phase
장곡동,진말삼환한진아파트,59.58,21000,1999,2017-01-23,4,UnjeongCentral,Before
은행동,벽산3차,84.99,28000,1998,2017-01-31,16,UnjeongCentral,Before
정왕동,무진,59.58,18600,1995,2017-01-25,9,UnjeongCentral,Before
조남동,네이처하임,74.48,32900,2016,2017-01-25,3,UnjeongCentral,Before
조남동,장미,60.768,13250,1985,2017-01-23,1,UnjeongCentral,Before
월곶동,풍림아이원1차,32.95,11600,2002,2017-01-21,11,UnjeongCentral,Before
월곶동,풍림아이원2차,37.918,14500,2005,2017-01-23,1,UnjeongCentral,Before
은행동,풍림아이원,84.488,26700,2003,2017-01-25,13,UnjeongCentral,Before
포동,서강,59.73,14500,1997,2017-01-24,15,UnjeongCentral,Before
은행동,광덕2,62.46,15000,1991,2017-01-20,11,UnjeongCentral,Before
정왕동,유천,84.72,21000,1996,2017-01-23,3,UnjeongCentral,Before
은행동,광덕2,62.46,17000,1991,2017-01-31,12,UnjeongCentral,Before
신천동,우남한신휴플러스,84.925,23900,1996,2017-01-18,6,UnjeongCentral,Before
거모동,아주5,59.93,18500,1994,2017-01-26,7,UnjeongCentral,Before
하중동,관곡마을성원,59.73,17300,1999,2017-01-25,10,UnjeongCentral,Before
신천동,상아,59.91,15000,1996,2017-01-24,1,UnjeongCentral,Before
장곡동,삼성래미안,84.97,23800,1999,2017-01-23,16,UnjeongCentral,Before
은행동,벽산3차,59.95,22400,1998,2017-01-23,3,UnjeongCentral,Before
정왕동,건영5,84.92,25900,2002,2017-01-25,10,UnjeongCentral,Before
대야동,우성2,41.55,16700,1995,2017-01-16,5,UnjeongCentral,Before
장현동,새재마을대동,114.55,31000,1999,2017-01-24,4,UnjeongCentral,Before
능곡동,시흥능곡자연앤(4단지),84.86,34700,2009,2017-01-17,13,UnjeongCentral,Before
정왕동,세종2,59.88,21000,1997,2017-01-18,8,UnjeongCentral,Before
정왕동,세종1,74.56,22000,1996,2017-01-17,1,UnjeongCentral,Before
정왕동,월드,59.935,20700,1995,2017-01-17,10,UnjeongCentral,Before
정왕동,건영5,84.98,24300,2002,2017-01-10,3,UnjeongCentral,Before
정왕동,동보,84.94,23000,1997,2017-01-20,7,UnjeongCentral,Before
장곡동,숲속마을,59.755,17200,1999,2017-01-10,1,UnjeongCentral,Before
장곡동,연성쉐르빌,58.2,13900,2002,2017-01-16,6,UnjeongCentral,Before
장곡동,진말삼환한진아파트,59.58,20000,1999,2017-01-21,17,UnjeongCentral,Before
매화동,제성,49.32,11300,1985,2017-01-21,3,UnjeongCentral,Before
매화동,서능1차(101~103동),45.66,8400,1991,2017-01-10,4,UnjeongCentral,Before
월곶동,풍림아이원1차,32.95,12700,2002,2017-01-24,6,UnjeongCentral,Before
은행동,한영,55.08,12200,1986,2017-01-26,2,UnjeongCentral,Before
조남동,삼호가든아파트,59.95,19000,1997,2017-01-12,3,UnjeongCentral,Before
