법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
하양읍 동서리,하양코아루,59.8995,18500,2016,2017-01-12,5,경산중앙역,개통 전
하양읍 금락리,하양2차롯데낙천대,59.9675,18000,2006,2017-01-21,9,경산중앙역,개통 전
하양읍 금락리,경산하양롯데,169.87,39400,1999,2017-01-18,13,경산중앙역,개통 전
하양읍 금락리,경산하양롯데,59.94,14000,1999,2017-01-21,8,경산중앙역,개통 전
계양동,초원전원1차,59.94,7250,1990,2017-01-26,4,경산중앙역,개통 전
대평동,대평그린빌,84.8,24000,2004,2017-01-23,2,경산중앙역,개통 전
중방동,중방e-편한세상3단지,84.895,33500,2010,2017-01-26,15,경산중앙역,개통 전
정평동,현대타운,59.82,16600,1996,2017-01-31,3,경산중앙역,개통 전
정평동,한솔1차,84.97,19800,1997,2017-01-26,3,경산중앙역,개통 전
옥산동,우방타운,102.7,20600,1993,2017-01-15,10,경산중앙역,개통 전
압량읍 신대리,신대팰리스,59.9605,18500,2011,2017-01-20,15,경산중앙역,개통 전
삼풍동,태왕드림하이츠,121.2056,25500,2001,2017-01-14,18,경산중앙역,개통 전
하양읍 금락리,경산하양롯데,59.94,14800,1999,2017-01-30,11,경산중앙역,개통 전
와촌면 덕촌리,예다인,59.7325,10000,2009,2017-01-08,4,경산중앙역,개통 전
백천동,부영초록마을,84.9751,18700,2004,2017-01-31,9,경산중앙역,개통 전
옥곡동,부영조은마을(1단지),59.987,13800,2004,2017-01-14,1,경산중앙역,개통 전
중방동,중방e-편한세상3단지,146.065,45000,2010,2017-01-12,3,경산중앙역,개통 전
옥산동,청구,84.94,18500,1993,2017-01-05,6,경산중앙역,개통 전
중산동,경남신성,59.94,16500,1996,2017-01-13,13,경산중앙역,개통 전
사동,부영2차,84.9768,18000,2001,2017-01-20,6,경산중앙역,개통 전
진량읍 신상리,보국웰리치,84.49,23000,2005,2017-01-09,16,경산중앙역,개통 전
옥곡동,옥곡태왕아너스고은아파트,84.9341,26900,2015,2017-01-12,6,경산중앙역,개통 전
사정동,옥산서한이다음,120.4392,31900,2005,2017-01-04,12,경산중앙역,개통 전
옥산동,우방타운,74.75,16000,1993,2017-01-16,9,경산중앙역,개통 전
옥산동,옥산신화평광,59.98,16500,1996,2017-01-11,16,경산중앙역,개통 전
옥곡동,부영우리마을(2단지),84.9751,20000,2005,2017-01-09,8,경산중앙역,개통 전
백천동,경산백천신나리,84.9319,19900,2005,2017-01-21,14,경산중앙역,개통 전
진량읍 황제리,창신황제타운,59.91,8800,1996,2017-01-20,10,경산중앙역,개통 전
진량읍 부기리,창신무학타운,59.91,8500,1996,2017-01-18,4,경산중앙역,개통 전
와촌면 덕촌리,예다인,59.7325,11800,2009,2017-01-09,10,경산중앙역,개통 전
와촌면 덕촌리,예다인,59.7325,10000,2009,2017-01-13,5,경산중앙역,개통 전
진량읍 봉회리,경산3차삼주봉황타운,59.62,9500,1997,2017-01-24,13,경산중앙역,개통 전
하양읍 금락리,하양우방3차,135.0,28000,1994,2017-01-13,4,경산중앙역,개통 전
사정동,옥산삼산타운,84.98,19400,1995,2017-01-15,4,경산중앙역,개통 전
진량읍 부기리,창신무학타운,59.91,9250,1996,2017-01-17,10,경산중앙역,개통 전
중방동,해성센트럴파크주상복합,84.8143,24300,2016,2017-01-24,3,경산중앙역,개통 전
정평동,태왕귀빈타운,84.99,22000,1993,2017-01-04,2,경산중앙역,개통 전
옥곡동,성암산신동아파밀리에,124.51,32000,2009,2017-01-11,6,경산중앙역,개통 전
중산동,옥산태왕ㆍ한라타운,85.0,20000,1996,2017-01-20,8,경산중앙역,개통 전
중산동,경남신성,59.94,16000,1996,2017-01-21,10,경산중앙역,개통 전
정평동,한서신혼하이츠,84.82,17700,1993,2017-01-21,2,경산중앙역,개통 전
압량읍 신대리,경산푸르지오,84.962,30500,2015,2017-01-26,18,경산중앙역,개통 전
옥곡동,성암산신동아파밀리에,134.081,33000,2009,2017-01-17,1,경산중앙역,개통 전
옥곡동,부영조은마을(1단지),59.987,14700,2004,2017-01-19,4,경산중앙역,개통 전
옥곡동,부영두리마을(3단지),84.9751,20800,2006,2017-01-10,5,경산중앙역,개통 전
중방동,중방e-편한세상2단지,84.973,35900,2010,2017-01-10,6,경산중앙역,개통 전
중방동,해성센트럴파크주상복합,84.92,24600,2016,2017-01-17,15,경산중앙역,개통 전
