법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
성산동,성산시영(대우),50.03,14150,1986,2005-09-08,11,공덕역,공사 중
도화동,우성,68.94,23000,1991,2006-01-20,4,공덕역,공사 중
대흥동,대흥동태영아파트,59.4,24800,1999,2006-01-08,20,공덕역,공사 중
신정동,서강GS,114.87,79900,1999,2006-01-26,13,공덕역,공사 중
염리동,상록,57.88,18500,1997,2006-01-07,18,공덕역,공사 중
용강동,강변그린,59.5,16500,1999,2006-01-18,5,공덕역,공사 중
성산동,성산시영(선경),50.54,18000,1986,2006-01-23,9,공덕역,공사 중
성산동,성산시영(선경),50.54,25000,1986,2006-01-20,7,공덕역,공사 중
성산동,성산시영(선경),50.54,24900,1986,2006-01-17,11,공덕역,공사 중
대흥동,대흥동태영아파트,59.4,23450,1999,2006-01-23,11,공덕역,공사 중
창전동,신촌금호,84.86,31000,2001,2006-01-22,2,공덕역,공사 중
연남동,코오롱,59.76,25500,2003,2006-01-04,14,공덕역,공사 중
창전동,창전래미안,84.93,36500,1998,2006-01-21,15,공덕역,공사 중
대흥동,대흥동태영아파트,59.4,22000,1999,2006-01-12,22,공덕역,공사 중
대흥동,대흥동태영아파트,84.77,39500,1999,2006-01-18,23,공덕역,공사 중
대흥동,대흥동태영아파트,59.4,20000,1999,2006-01-26,1,공덕역,공사 중
중동,강림월드타운,79.6,22600,2002,2006-01-28,10,공덕역,공사 중
대흥동,대흥동태영아파트,84.77,40750,1999,2006-01-05,16,공덕역,공사 중
도화동,현대홈타운,59.17,23100,2000,2006-01-23,12,공덕역,공사 중
대흥동,대흥동태영아파트,114.93,56250,1999,2006-01-26,8,공덕역,공사 중
서교동,기정MAY(247-112),84.64,21500,2004,2006-01-24,5,공덕역,공사 중
서교동,기정MAY(247-112),82.54,21500,2004,2006-01-23,7,공덕역,공사 중
성산동,성산시영(유원),59.43,32000,1986,2006-01-23,3,공덕역,공사 중
성산동,성산동성,60.0,18400,1999,2006-01-25,9,공덕역,공사 중
마포동,마포쌍용황금아파트,114.84,43000,2000,2006-01-25,3,공덕역,공사 중
연남동,코오롱,84.936,32300,2003,2006-01-05,15,공덕역,공사 중
성산동,성산시영(선경),50.54,25700,1986,2006-01-23,5,공덕역,공사 중
