법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
영통동,황골마을주공1,59.99,20500,1997,2013-01-28,18,광교역,개통 전
매탄동,주공그린빌1,84.45,27000,2002,2013-01-21,1,광교역,개통 전
영통동,벽적골롯데,49.71,18000,2002,2013-01-30,2,광교역,개통 전
영통동,신나무실미주,134.78,37800,1999,2013-01-25,2,광교역,개통 전
망포동,그대가프리미어,174.5169,49783,2010,2013-01-31,11,광교역,개통 전
망포동,늘푸른벽산,84.925,26650,2000,2013-01-23,5,광교역,개통 전
영통동,신나무실신안,59.965,23400,1997,2013-01-29,15,광교역,개통 전
매탄동,현대힐스테이트,84.975,31450,2006,2013-01-25,8,광교역,개통 전
영통동,신나무실건영,84.99,36200,2000,2013-01-28,5,광교역,개통 전
이의동,래미안광교,120.97,61000,2012,2013-01-19,27,광교역,개통 전
매탄동,e-편한세상,84.8286,40500,2010,2013-01-26,25,광교역,개통 전
매탄동,매탄위브하늘채,84.818,38000,2008,2013-01-18,19,광교역,개통 전
원천동,주공,49.94,16000,1987,2013-01-31,12,광교역,개통 전
매탄동,매탄위브하늘채,103.4857,43500,2008,2013-01-28,4,광교역,개통 전
매탄동,삼성2,84.81,22900,1989,2013-01-16,7,광교역,개통 전
매탄동,성일,39.99,13000,1988,2013-01-22,6,광교역,개통 전
매탄동,동남,49.68,13700,1989,2013-01-18,2,광교역,개통 전
매탄동,매탄레이크파크,49.95,14800,1999,2013-01-21,3,광교역,개통 전
망포동,동수원자이1차,84.9688,28400,2001,2013-01-12,6,광교역,개통 전
매탄동,매탄주공4,46.8,19500,1985,2013-01-17,5,광교역,개통 전
망포동,늘푸른벽산,59.884,19050,2000,2013-01-20,17,광교역,개통 전
영통동,벽적골우성,59.84,23900,1998,2013-01-19,12,광교역,개통 전
영통동,벽적골두산,59.84,23350,1997,2013-01-16,15,광교역,개통 전
매탄동,현대힐스테이트,84.975,31400,2006,2013-01-08,13,광교역,개통 전
매탄동,동남,49.68,15450,1989,2013-01-22,14,광교역,개통 전
매탄동,원천성일,44.2,12750,1992,2013-01-24,6,광교역,개통 전
망포동,망포역아이파크,101.939,32000,2002,2013-01-28,17,광교역,개통 전
매탄동,성일,49.68,14000,1988,2013-01-24,2,광교역,개통 전
영통동,황골마을(쌍용),59.8,21000,1998,2013-01-15,13,광교역,개통 전
영통동,벽적골9단지주공,59.39,23700,1999,2013-01-25,17,광교역,개통 전
원천동,원천레이크파크,59.99,18700,1999,2013-01-26,1,광교역,개통 전
매탄동,한국2,72.84,24000,1993,2013-01-15,3,광교역,개통 전
매탄동,e-편한세상,59.9677,29500,2010,2013-01-23,14,광교역,개통 전
매탄동,현대힐스테이트,59.648,23800,2006,2013-01-24,4,광교역,개통 전
매탄동,우성,59.94,15300,1998,2013-01-21,13,광교역,개통 전
망포동,센트럴하이츠,156.0126,79870,2010,2013-01-08,19,광교역,개통 전
영통동,벽적골두산,59.84,23400,1997,2013-01-26,6,광교역,개통 전
영통동,영통센트럴파크뷰,59.99,21200,1999,2013-01-22,6,광교역,개통 전
원천동,주공,41.3,18100,1987,2013-01-26,8,광교역,개통 전
망포동,그대가프리미어,174.5169,50741,2010,2013-01-14,15,광교역,개통 전
매탄동,주공그린빌5,36.38,16650,2002,2013-01-24,5,광교역,개통 전
매탄동,현대힐스테이트,59.648,24000,2006,2013-01-10,4,광교역,개통 전
영통동,황골마을주공1,59.99,20750,1997,2013-01-30,17,광교역,개통 전
영통동,신나무실휴먼시아5단지,59.99,19000,1997,2013-01-22,4,광교역,개통 전
영통동,황골마을주공1,59.99,20900,1997,2013-01-10,9,광교역,개통 전
영통동,벽적골롯데,59.96,23000,2002,2013-01-29,3,광교역,개통 전
영통동,벽적골9단지주공,59.39,24500,1999,2013-01-08,12,광교역,개통 전
영통동,벽적골우성,59.84,23500,1998,2013-01-24,9,광교역,개통 전
영통동,황골마을주공1,49.76,16800,1997,2013-01-23,16,광교역,개통 전
영통동,황골마을주공1,59.99,20900,1997,2013-01-11,9,광교역,개통 전
매탄동,삼성2,54.66,14700,1989,2013-01-12,2,광교역,개통 전
매탄동,매탄위브하늘채,84.7807,42700,2008,2013-01-30,7,광교역,개통 전
영통동,삼성,84.93,32700,1997,2013-01-07,13,광교역,개통 전
원천동,주공,49.94,16800,1987,2013-01-16,10,광교역,개통 전
영통동,벽적골한신,59.84,20800,1997,2013-01-19,10,광교역,개통 전
매탄동,매탄주공4,46.8,19800,1985,2013-01-24,3,광교역,개통 전
망포동,늘푸른벽산,114.954,30500,2000,2013-01-12,15,광교역,개통 전
매탄동,현대힐스테이트,84.975,32300,2006,2013-01-03,5,광교역,개통 전
이의동,광교e편한세상,119.7187,65650,2012,2013-01-24,24,광교역,개통 전
영통동,신나무실진흥,59.965,21500,1997,2013-01-17,13,광교역,개통 전
매탄동,매탄위브하늘채,84.7807,44800,2008,2013-01-22,9,광교역,개통 전
매탄동,매탄위브하늘채,84.818,38500,2008,2013-01-07,15,광교역,개통 전
영통동,황골마을한국,59.99,20200,1998,2013-01-24,20,광교역,개통 전
이의동,광교e편한세상,145.6366,76379,2012,2013-01-17,15,광교역,개통 전
매탄동,매탄주공4,45.72,20000,1985,2013-01-30,4,광교역,개통 전
영통동,황골마을주공1,59.99,20400,1997,2013-01-29,8,광교역,개통 전
매탄동,매탄주공5,83.04,32000,1985,2013-01-21,1,광교역,개통 전
원천동,주공,49.94,15200,1987,2013-01-15,13,광교역,개통 전
영통동,신나무실휴먼시아5단지,49.59,15700,1997,2013-01-29,11,광교역,개통 전
원천동,삼성1,49.14,12800,1992,2013-01-08,11,광교역,개통 전
원천동,원천레이크파크,59.99,20800,1999,2013-01-24,9,광교역,개통 전
망포동,동수원자이1차,84.9688,29500,2001,2013-01-10,11,광교역,개통 전
망포동,망포벽산이빌리지,84.9,23000,2002,2013-01-09,10,광교역,개통 전
이의동,자연앤힐스테이트,84.63,48600,2012,2013-01-12,16,광교역,개통 전
영통동,황골마을주공1,49.76,17100,1997,2013-01-24,15,광교역,개통 전
영통동,건영1차,134.81,42950,1999,2013-01-25,14,광교역,개통 전
매탄동,매탄위브하늘채,128.821,50000,2008,2013-01-09,2,광교역,개통 전
영통동,청명마을대우,134.64,48300,1998,2013-01-14,13,광교역,개통 전
영통동,신나무실극동,84.9,34800,1999,2013-01-12,7,광교역,개통 전
영통동,벽적골우성,59.84,24000,1998,2013-01-12,15,광교역,개통 전
망포동,망포마을쌍용1차,84.8697,26750,2002,2013-01-24,11,광교역,개통 전
영통동,신나무실미주,101.99,39300,1999,2013-01-09,4,광교역,개통 전
영통동,신나무실신원,101.714,39500,1999,2013-01-09,14,광교역,개통 전
매탄동,현대힐스테이트,59.648,23900,2006,2013-01-14,12,광교역,개통 전
영통동,벽적골주공휴먼시아8단지,59.99,19800,1997,2013-01-21,4,광교역,개통 전
영통동,건영1차,134.81,42700,1999,2013-01-10,5,광교역,개통 전
영통동,영통센트럴파크뷰,59.8,18650,1999,2013-01-12,5,광교역,개통 전
영통동,신나무실건영,99.96,43000,2000,2013-01-17,8,광교역,개통 전
망포동,동수원자이1차,84.9688,28400,2001,2013-01-15,19,광교역,개통 전
매탄동,매탄위브하늘채,103.6419,50000,2008,2013-01-07,14,광교역,개통 전
영통동,청명마을삼성,119.871,43000,2001,2013-01-19,13,광교역,개통 전
망포동,마젤란21,84.7237,24000,2006,2013-01-28,11,광교역,개통 전
매탄동,매탄위브하늘채,59.9845,28700,2008,2013-01-12,20,광교역,개통 전
원천동,원천레이크파크,59.99,20350,1999,2013-01-26,5,광교역,개통 전
원천동,원천레이크파크,59.99,19850,1999,2013-01-09,13,광교역,개통 전
매탄동,임광,74.25,20200,1990,2013-01-14,3,광교역,개통 전
원천동,원천레이크파크,49.95,16250,1999,2013-01-22,13,광교역,개통 전
원천동,원천레이크파크,49.95,16400,1999,2013-01-26,13,광교역,개통 전
매탄동,삼성2,84.87,22600,1989,2013-01-10,7,광교역,개통 전
매탄동,임광,84.95,22650,1990,2013-01-28,2,광교역,개통 전
매탄동,매탄레이크파크,59.99,18200,1999,2013-01-19,8,광교역,개통 전
원천동,원천레이크파크,59.99,18200,1999,2013-01-09,20,광교역,개통 전
영통동,신나무실휴먼시아5단지,59.99,19500,1997,2013-01-14,18,광교역,개통 전
매탄동,매탄위브하늘채,84.8974,42700,2008,2013-01-12,17,광교역,개통 전
이의동,광교e편한세상,120.0331,61990,2012,2013-01-27,25,광교역,개통 전
매탄동,매탄위브하늘채,84.7807,41000,2008,2013-01-12,5,광교역,개통 전
매탄동,매탄위브하늘채,84.7273,39300,2008,2013-01-14,29,광교역,개통 전
매탄동,현대힐스테이트,127.908,41000,2006,2013-01-19,18,광교역,개통 전
영통동,영통에듀파크(321동~327동),84.96,36300,1997,2013-01-19,17,광교역,개통 전
이의동,광교2차e편한세상,84.6861,44500,2011,2013-01-03,7,광교역,개통 전
영통동,영통에듀파크(331동~337동),84.96,33800,1997,2013-01-25,3,광교역,개통 전
영통동,황골마을주공1,59.99,20400,1997,2013-01-15,13,광교역,개통 전
매탄동,주공그린빌4,84.71,29500,2002,2013-01-02,12,광교역,개통 전
영통동,벽적골한신,59.84,25200,1997,2013-01-12,11,광교역,개통 전
매탄동,현대힐스테이트,84.975,30700,2006,2013-01-09,13,광교역,개통 전
매탄동,현대힐스테이트,84.975,30000,2006,2013-01-10,3,광교역,개통 전
영통동,황골마을주공1,49.76,17800,1997,2013-01-28,17,광교역,개통 전
영통동,황골마을주공1,49.76,17000,1997,2013-01-30,19,광교역,개통 전
원천동,주공,32.39,11800,1987,2013-01-30,10,광교역,개통 전
매탄동,삼성3,59.76,16500,1993,2013-01-04,1,광교역,개통 전
매탄동,성일,49.68,14200,1988,2013-01-10,3,광교역,개통 전
매탄동,e-편한세상,101.709,44000,2010,2013-01-15,10,광교역,개통 전
영통동,벽적골9단지주공,59.39,19500,1999,2013-01-19,1,광교역,개통 전
영통동,영통센트럴파크뷰,59.8,18200,1999,2013-01-18,3,광교역,개통 전
영통동,벽적골9단지주공,59.39,25500,1999,2013-01-18,12,광교역,개통 전
영통동,황골마을주공1,59.99,21800,1997,2013-01-04,13,광교역,개통 전
영통동,벽적골우성,59.84,23200,1998,2013-01-17,16,광교역,개통 전
영통동,황골마을주공1,59.99,19450,1997,2013-01-28,20,광교역,개통 전
망포동,망포벽산이빌리지,84.9,22000,2002,2013-01-16,13,광교역,개통 전
영통동,벽적골주공휴먼시아8단지,59.99,21000,1997,2013-01-24,14,광교역,개통 전
이의동,자연앤힐스테이트,84.5,49113,2012,2013-01-03,26,광교역,개통 전
원천동,원천레이크파크,59.8,17000,1999,2013-01-21,1,광교역,개통 전
이의동,광교e편한세상,145.6366,65518,2012,2013-01-23,1,광교역,개통 전
영통동,벽적골롯데,38.16,15900,2002,2013-01-18,20,광교역,개통 전
매탄동,매탄레이크파크,59.99,18100,1999,2013-01-16,19,광교역,개통 전
망포동,방죽마을영통뜨란채,84.68,26500,2005,2013-01-06,20,광교역,개통 전
영통동,벽적골주공휴먼시아8단지,59.99,19000,1997,2013-01-19,1,광교역,개통 전
영통동,벽적골롯데,38.16,15700,2002,2013-01-23,10,광교역,개통 전
영통동,황골마을주공1,49.76,16500,1997,2013-01-28,9,광교역,개통 전
매탄동,매탄주공5,83.04,30250,1985,2013-01-14,12,광교역,개통 전
