법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
지산동,삼성,151.32,16100,1991,2006-01-20,9,광주 1호선,공사 중
산수동,무등파크,72.36,5500,1987,2006-01-18,6,광주 1호선,공사 중
운림동,무등파크맨션1차,149.84,13500,1990,2006-01-13,1,광주 1호선,공사 중
운림동,라인2차,84.7,9450,1992,2006-01-25,16,광주 1호선,공사 중
산수동,금호두암타운,134.79,24250,1993,2006-01-14,12,광주 1호선,공사 중
산수동,광명,84.923,10850,1995,2006-01-24,4,광주 1호선,공사 중
동명동,금석빌라,138.63,13500,1991,2006-01-29,4,광주 1호선,공사 중
지산동,삼성,84.945,9350,1991,2006-01-19,8,광주 1호선,공사 중
학동,평화맨션,84.51,9650,1984,2006-01-26,13,광주 1호선,공사 중
소태동,대아1차,134.9,12000,1993,2006-01-24,12,광주 1호선,공사 중
계림동,금호,164.9,29700,1996,2006-01-26,9,광주 1호선,공사 중
학동,삼익세라믹,84.87,9300,1989,2006-01-27,14,광주 1호선,공사 중
소태동,대아1차,84.98,8100,1993,2006-01-23,14,광주 1호선,공사 중
운림동,라인광명,59.88,7500,1997,2006-01-19,17,광주 1호선,공사 중
산수동,무등파크,80.32,7000,1987,2006-01-27,4,광주 1호선,공사 중
금남로3가,금남맨션,82.21,7800,1977,2006-01-20,5,광주 1호선,공사 중
학동,삼익세라믹,76.9,10200,1989,2006-01-16,5,광주 1호선,공사 중
계림동,금호,59.85,8500,1996,2006-01-20,2,광주 1호선,공사 중
계림동,계림동금호2,59.703,9150,1998,2006-01-19,15,광주 1호선,공사 중
용산동,용산,66.375,4500,1981,2006-01-23,4,광주 1호선,공사 중
용산동,한국,59.91,6400,1997,2006-01-16,16,광주 1호선,공사 중
계림동,계림동금호2,84.78,13600,1998,2006-01-04,18,광주 1호선,공사 중
계림동,금호,84.93,14600,1996,2006-01-04,13,광주 1호선,공사 중
학동,자민맨션,76.05,4400,1984,2006-02-10,4,광주 1호선,공사 중
운림동,라인1차,133.11,10200,1991,2006-02-27,6,광주 1호선,공사 중
운림동,무등스위트맨션,60.0,6400,1995,2006-02-20,13,광주 1호선,공사 중
계림동,금호,134.76,23000,1996,2006-02-25,15,광주 1호선,공사 중
산수동,동진맨션,83.5,6300,1984,2006-02-15,1,광주 1호선,공사 중
계림동,금호,59.85,9500,1996,2006-02-27,16,광주 1호선,공사 중
학동,백화,50.22,4000,1992,2006-02-10,15,광주 1호선,공사 중
학동,무등파크,77.76,6720,1983,2006-02-23,2,광주 1호선,공사 중
용산동,동산타워,84.99,7050,1991,2006-02-28,3,광주 1호선,공사 중
운림동,라인1차,84.7,8600,1991,2006-02-24,11,광주 1호선,공사 중
산수동,금호두암타운,94.58,12900,1993,2006-02-26,14,광주 1호선,공사 중
소태동,대아1차,134.9,12750,1993,2006-02-18,13,광주 1호선,공사 중
학동,삼익세라믹,84.87,8500,1989,2006-02-09,6,광주 1호선,공사 중
운림동,무등파크맨션3차,131.94,16000,1994,2006-02-21,7,광주 1호선,공사 중
운림동,라인광명,84.87,11550,1997,2006-02-28,3,광주 1호선,공사 중
계림동,계림동금호2,84.78,14650,1998,2006-02-20,19,광주 1호선,공사 중
학동,무등파크,84.6,6750,1983,2006-02-14,6,광주 1호선,공사 중
지산동,삼성,84.945,9400,1991,2006-02-19,5,광주 1호선,공사 중
계림동,금호,134.76,21000,1996,2006-02-21,5,광주 1호선,공사 중
지산동,푸른맨션,63.27,4500,1983,2006-02-25,2,광주 1호선,공사 중
계림동,금호,84.93,13400,1996,2006-02-14,12,광주 1호선,공사 중
소태동,수정맨션,51.05,3000,1979,2006-02-07,2,광주 1호선,공사 중
학동,평화맨션,84.51,8500,1984,2006-02-28,8,광주 1호선,공사 중
계림동,금호,84.93,13750,1996,2006-02-21,10,광주 1호선,공사 중
학동,현대,84.87,12700,1998,2006-02-03,3,광주 1호선,공사 중
지산동,삼성,151.32,15400,1991,2006-02-21,4,광주 1호선,공사 중
소태동,대아2차,84.98,7850,1993,2006-02-15,9,광주 1호선,공사 중
학동,아남,84.93,10100,1994,2006-02-14,3,광주 1호선,공사 중
산수동,해광파크,84.61,7700,1990,2006-02-01,3,광주 1호선,공사 중
계림동,계림동금호2,59.703,9300,1998,2006-02-18,17,광주 1호선,공사 중
지산동,삼성,151.32,16500,1991,2006-02-20,15,광주 1호선,공사 중
산수동,동산로얄,84.94,7300,1989,2006-02-16,2,광주 1호선,공사 중
학동,삼익세라믹,76.9,9000,1989,2006-02-01,4,광주 1호선,공사 중
산수동,금호두암타운,94.57,13800,1993,2006-02-15,11,광주 1호선,공사 중
용산동,일광맨션,58.32,3500,1987,2006-02-17,7,광주 1호선,공사 중
학동,평화맨션,84.51,7000,1984,2006-02-07,1,광주 1호선,공사 중
운림동,무등파크맨션3차,59.76,4000,1994,2006-02-01,1,광주 1호선,공사 중
계림동,금호,84.93,13800,1996,2006-02-11,11,광주 1호선,공사 중
학동,금호베스트빌,145.2179,30500,2002,2006-02-01,12,광주 1호선,공사 중
계림동,금호,59.85,9650,1996,2006-03-29,18,광주 1호선,공사 중
운림동,남해오네뜨빌,140.78,27780,2006,2006-03-27,9,광주 1호선,공사 중
계림동,금호,59.85,9550,1996,2006-03-21,3,광주 1호선,공사 중
산수동,동진맨션,83.5,6200,1984,2006-03-25,4,광주 1호선,공사 중
운림동,무등파크맨션3차,131.94,14000,1994,2006-03-13,6,광주 1호선,공사 중
산수동,무등파크,72.36,5800,1987,2006-03-27,7,광주 1호선,공사 중
학동,현대,84.87,12800,1998,2006-03-27,3,광주 1호선,공사 중
학동,백화,50.22,4000,1992,2006-03-30,4,광주 1호선,공사 중
운림동,무등파크맨션2차,84.91,9800,1992,2006-03-29,19,광주 1호선,공사 중
운림동,라인1차,84.97,9500,1991,2006-03-25,3,광주 1호선,공사 중
소태동,모아미래도,71.42,11000,2003,2006-03-25,15,광주 1호선,공사 중
산수동,금호두암타운,94.57,12800,1993,2006-03-31,12,광주 1호선,공사 중
학동,삼익세라믹,76.9,8250,1989,2006-03-24,15,광주 1호선,공사 중
산수동,동산로얄,84.94,6700,1989,2006-03-17,6,광주 1호선,공사 중
소태동,모아미래도,84.64,15215,2003,2006-03-22,18,광주 1호선,공사 중
학동,삼익세라믹,154.18,18200,1989,2006-03-24,12,광주 1호선,공사 중
지산동,삼성,84.945,5400,1991,2006-03-25,6,광주 1호선,공사 중
학동,삼익세라믹,76.9,9000,1989,2006-03-23,15,광주 1호선,공사 중
계림동,금호,59.85,9500,1996,2006-03-31,6,광주 1호선,공사 중
학동,삼익세라믹,154.18,18400,1989,2006-03-20,4,광주 1호선,공사 중
계림동,금호,59.85,9000,1996,2006-03-20,2,광주 1호선,공사 중
운림동,무등파크맨션2차,80.61,5600,1992,2006-03-14,12,광주 1호선,공사 중
소태동,대아1차,134.9,12800,1993,2006-03-16,12,광주 1호선,공사 중
학동,평화맨션,84.51,9150,1984,2006-03-27,15,광주 1호선,공사 중
산수동,무등파크,71.31,6350,1987,2006-03-20,3,광주 1호선,공사 중
학동,현대,59.36,7500,1998,2006-03-10,4,광주 1호선,공사 중
운림동,무등스위트맨션,60.0,6100,1995,2006-03-20,5,광주 1호선,공사 중
지산동,삼성,84.945,9800,1991,2006-03-20,11,광주 1호선,공사 중
계림동,금호,84.93,13800,1996,2006-03-10,11,광주 1호선,공사 중
학동,평화맨션,84.51,7250,1984,2006-03-15,2,광주 1호선,공사 중
학동,삼익세라믹,84.87,9950,1989,2006-03-18,14,광주 1호선,공사 중
소태동,신흥맨션,67.995,5600,1986,2006-03-06,6,광주 1호선,공사 중
학동,아남,59.76,6600,1994,2006-03-17,10,광주 1호선,공사 중
산수동,호남,93.252,4900,1979,2006-03-15,1,광주 1호선,공사 중
운림동,무등파크맨션2차,139.66,12400,1992,2006-03-05,15,광주 1호선,공사 중
학동,삼익세라믹,125.95,14600,1989,2006-03-23,2,광주 1호선,공사 중
소태동,대아1차,84.98,8300,1993,2006-03-18,15,광주 1호선,공사 중
동명동,동명파크맨션,108.48,9300,1989,2006-03-06,1,광주 1호선,공사 중
학동,삼익세라믹,84.87,9150,1989,2006-03-16,7,광주 1호선,공사 중
지산동,푸른맨션,60.3,5300,1983,2006-03-24,2,광주 1호선,공사 중
산수동,무등파크,84.93,7300,1987,2006-03-20,10,광주 1호선,공사 중
계림동,금호,59.85,9300,1996,2006-03-15,15,광주 1호선,공사 중
금남로2가,무등맨션,112.76,13000,1978,2006-03-23,8,광주 1호선,공사 중
운림동,라인1차,84.97,9800,1991,2006-03-16,8,광주 1호선,공사 중
학동,삼익세라믹,84.87,9200,1989,2006-03-09,3,광주 1호선,공사 중
학동,삼익세라믹,84.87,9200,1989,2006-03-23,7,광주 1호선,공사 중
용산동,호반맨션,59.96,4600,1991,2006-03-02,10,광주 1호선,공사 중
계림동,금호,84.93,12970,1996,2006-03-08,2,광주 1호선,공사 중
용산동,한국,59.88,6700,1997,2006-03-08,4,광주 1호선,공사 중
동명동,동명(166-1),157.41,14300,1983,2006-03-23,7,광주 1호선,공사 중
운림동,라인광명,84.87,10650,1997,2006-03-13,18,광주 1호선,공사 중
소태동,대아1차,134.9,11500,1993,2006-03-15,4,광주 1호선,공사 중
계림동,금호,84.93,13800,1996,2006-03-20,5,광주 1호선,공사 중
계림동,계림동금호2,84.78,14000,1998,2006-03-18,16,광주 1호선,공사 중
지산동,삼성,84.945,9400,1991,2006-03-03,14,광주 1호선,공사 중
계림동,금호,59.85,9000,1996,2006-03-07,19,광주 1호선,공사 중
지산동,제일맨션,63.5,4800,2003,2006-03-06,8,광주 1호선,공사 중
지산동,제일맨션,63.5,5100,2003,2006-03-19,6,광주 1호선,공사 중
학동,금호베스트빌,126.274,22500,2002,2006-03-04,16,광주 1호선,공사 중
소태동,대아2차,84.98,8050,1993,2006-03-03,2,광주 1호선,공사 중
지산동,진아하이빌,83.0336,11500,2000,2006-03-10,4,광주 1호선,공사 중
계림동,금호,84.93,14000,1996,2006-03-10,9,광주 1호선,공사 중
용산동,동산타워,84.99,6000,1991,2006-03-10,21,광주 1호선,공사 중
산수동,금호두암타운,94.58,13000,1993,2006-03-08,14,광주 1호선,공사 중
산수동,금호두암타운,94.58,12300,1993,2006-03-03,7,광주 1호선,공사 중
운림동,라인광명,75.15,9450,1997,2006-03-07,1,광주 1호선,공사 중
학동,아남,137.35,13000,1994,2006-04-12,10,광주 1호선,공사 중
