법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
계림동,금호,59.85,10000,1996,2009-01-27,3,광주송정역,개통 전
용산동,용산,66.375,2700,1981,2009-01-28,5,광주송정역,개통 전
계림동,두산위브,113.8106,23171,2007,2009-01-20,1,광주송정역,개통 전
계림동,두산위브,154.3492,32867,2007,2009-01-08,5,광주송정역,개통 전
계림동,두산위브,154.3492,32209,2007,2009-01-22,2,광주송정역,개통 전
계림동,두산위브,154.3492,32867,2007,2009-01-21,3,광주송정역,개통 전
소태동,모아미래도,71.42,11930,2003,2009-01-28,18,광주송정역,개통 전
계림동,금호,59.85,10400,1996,2009-01-29,13,광주송정역,개통 전
운림동,라인2차,84.7,11000,1992,2009-01-13,11,광주송정역,개통 전
계림동,두산위브,154.3492,32867,2007,2009-01-06,3,광주송정역,개통 전
용산동,호반맨션,59.04,5950,1991,2009-01-03,2,광주송정역,개통 전
소태동,모아미래도,84.64,14500,2003,2009-01-06,12,광주송정역,개통 전
산수동,금호두암타운,94.57,15200,1993,2009-01-31,15,광주송정역,개통 전
산수동,금호두암타운,94.58,9200,1993,2009-01-21,1,광주송정역,개통 전
산수동,금호두암타운,94.58,9400,1993,2009-01-11,1,광주송정역,개통 전
운림동,무등파크맨션2차,84.91,10400,1992,2009-01-07,19,광주송정역,개통 전
운림동,무등파크맨션1차,84.92,10300,1990,2009-01-12,9,광주송정역,개통 전
계림동,두산위브,154.3492,31243,2007,2009-01-30,1,광주송정역,개통 전
소태동,진양,67.52,3750,1983,2009-01-07,2,광주송정역,개통 전
산수동,금호두암타운,94.57,12500,1993,2009-01-04,9,광주송정역,개통 전
산수동,금호두암타운,94.57,11700,1993,2009-01-08,3,광주송정역,개통 전
소태동,모아미래도,84.64,14800,2003,2009-01-03,9,광주송정역,개통 전
학동,아남,84.93,11000,1994,2009-01-29,11,광주송정역,개통 전
소태동,무등산아델리움,144.2784,45440,2009,2009-01-23,9,광주송정역,개통 전
계림동,두산위브,154.3492,32867,2007,2009-01-07,4,광주송정역,개통 전
소태동,온세계아이조움,84.9453,17000,2006,2009-01-02,9,광주송정역,개통 전
용산동,동산타워,84.99,7000,1991,2009-01-12,2,광주송정역,개통 전
계림동,두산위브,154.3492,32867,2007,2009-01-19,4,광주송정역,개통 전
소태동,무등산아델리움,144.2784,45440,2009,2009-01-21,10,광주송정역,개통 전
소태동,무등산아델리움,144.2784,45440,2009,2009-01-21,10,광주송정역,개통 전
