법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
화곡동,화곡푸르지오,84.914,45000,2002,2016-01-20,1,김포공항역,개통 전
염창동,동아3,59.7,37000,1999,2016-01-16,15,김포공항역,개통 전
염창동,롯데캐슬,84.9519,54800,2005,2016-01-20,9,김포공항역,개통 전
방화동,동부센트레빌,84.96,40000,2003,2016-01-25,4,김포공항역,개통 전
가양동,가양강나루현대,59.76,40400,1999,2016-01-30,11,김포공항역,개통 전
염창동,강변월드메르디앙,84.9102,54200,2010,2016-01-29,7,김포공항역,개통 전
가양동,빛고을우방,84.87,35500,1999,2016-01-29,1,김포공항역,개통 전
방화동,방화그린,49.77,25200,1993,2016-01-30,14,김포공항역,개통 전
가양동,동신대아,164.25,60000,1993,2016-01-29,15,김포공항역,개통 전
등촌동,"진로,미주아파트",84.96,42500,1994,2016-01-11,2,김포공항역,개통 전
화곡동,"우장산아이파크,이편한세상",114.98,73500,2008,2016-01-24,18,김포공항역,개통 전
마곡동,마곡엠밸리2단지,84.92,68800,2014,2016-01-25,9,김포공항역,개통 전
등촌동,등촌동아이파크,119.9031,67000,2004,2016-01-23,10,김포공항역,개통 전
방화동,"월드메르디앙201동,202동",84.82,39400,2004,2016-01-27,3,김포공항역,개통 전
방화동,방화5,39.6,22700,1994,2016-01-27,4,김포공항역,개통 전
등촌동,등촌라인(조합),59.91,31900,1997,2016-01-29,12,김포공항역,개통 전
등촌동,주공3,58.14,36400,1995,2016-01-23,10,김포공항역,개통 전
방화동,신안네트빌1단지,84.0164,35900,2002,2016-01-19,15,김포공항역,개통 전
염창동,이너스내안에,59.9,30200,2004,2016-01-23,1,김포공항역,개통 전
화곡동,화곡푸르지오,125.021,60000,2002,2016-01-26,9,김포공항역,개통 전
방화동,청솔,49.2,26000,1994,2016-01-14,4,김포공항역,개통 전
방화동,동성,76.8,39800,1993,2016-01-26,8,김포공항역,개통 전
방화동,동성,64.65,35600,1993,2016-01-25,13,김포공항역,개통 전
등촌동,서광등촌마을아파트,84.93,40500,1999,2016-01-29,19,김포공항역,개통 전
방화동,신안네트빌1단지,114.3032,42700,2002,2016-01-23,6,김포공항역,개통 전
가양동,강변,34.44,18950,1992,2016-01-30,12,김포공항역,개통 전
가양동,강변,49.5,30000,1992,2016-01-29,14,김포공항역,개통 전
화곡동,유림노르웨이숲(919-1),76.23,30200,2004,2016-01-30,7,김포공항역,개통 전
방화동,방화3차우림필유,84.57,36500,2005,2016-01-23,13,김포공항역,개통 전
마곡동,마곡엠벨리(14단지),84.86,69000,2014,2016-01-22,11,김포공항역,개통 전
등촌동,현대,84.55,36500,1995,2016-01-27,6,김포공항역,개통 전
내발산동,우장산힐스테이트,84.98,69000,2005,2016-01-29,10,김포공항역,개통 전
화곡동,천우(401-2),73.23,27500,2003,2016-01-18,6,김포공항역,개통 전
내발산동,신세계3차101동,84.873,39700,2003,2016-01-16,7,김포공항역,개통 전
염창동,동아3,59.83,39500,1999,2016-01-18,13,김포공항역,개통 전
등촌동,"등촌1,2단지주공아파트",41.85,24850,1994,2016-01-30,6,김포공항역,개통 전
등촌동,주공3,58.14,38300,1995,2016-01-28,12,김포공항역,개통 전
염창동,동아,59.97,31500,1998,2016-01-23,16,김포공항역,개통 전
방화동,동부센트레빌,84.96,30000,2003,2016-01-19,9,김포공항역,개통 전
등촌동,"등촌1,2단지주공아파트",41.85,25300,1994,2016-01-28,7,김포공항역,개통 전
등촌동,"등촌7,8단지주공아파트",41.85,23200,1994,2016-01-22,2,김포공항역,개통 전
화곡동,화곡푸르지오,104.75,54000,2002,2016-01-21,1,김포공항역,개통 전
가양동,강서한강자이,59.9382,54300,2013,2016-01-19,5,김포공항역,개통 전
가양동,강변,39.6,21000,1992,2016-01-28,1,김포공항역,개통 전
