법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
다산동,"플루리움4,5단지",134.878,48000,2000,2017-04-21,15,다산역,개통 전
와부읍 도곡리,덕소쌍용,134.919,36000,2000,2017-04-20,7,다산역,개통 전
오남읍 양지리,오남쌍용스윗닷홈지티1단지,84.877,23500,2005,2017-04-27,4,다산역,개통 전
평내동,평내마을신명스카이뷰,59.9016,23100,2004,2017-04-29,9,다산역,개통 전
퇴계원읍 퇴계원리,강남아파트,84.87,26000,1994,2017-04-24,15,다산역,개통 전
진접읍 내각리,한신,59.8,15800,1999,2017-04-05,12,다산역,개통 전
다산동,다산효성해링턴타워,129.59,54400,2010,2017-04-16,19,다산역,개통 전
퇴계원읍 퇴계원리,일신건영,134.64,31000,2000,2017-04-29,9,다산역,개통 전
화도읍 창현리,창현주공,59.71,15000,1997,2017-04-29,4,다산역,개통 전
와부읍 도곡리,벽산,84.93,27700,1999,2017-04-29,18,다산역,개통 전
오남읍 양지리,오남쌍용스윗닷홈지티1단지,84.877,24300,2005,2017-04-29,10,다산역,개통 전
오남읍 오남리,남양주오남푸르지오,107.5869,30700,2009,2017-04-29,10,다산역,개통 전
오남읍 양지리,대림e편한세상1단지,105.367,31000,2009,2017-04-27,12,다산역,개통 전
화도읍 차산리,신창현풍림아이원1차,84.991,25000,2009,2017-04-29,3,다산역,개통 전
호평동,호평마을한라비발디,59.949,25500,2005,2017-04-28,14,다산역,개통 전
퇴계원읍 퇴계원리,엘리시아,84.9755,29500,2005,2017-04-26,3,다산역,개통 전
호평동,호평마을효성백년가약,84.48,27400,2004,2017-04-21,14,다산역,개통 전
화도읍 묵현리,경성큰마을(1단지),84.94,16000,1998,2017-04-20,4,다산역,개통 전
화도읍 창현리,이안남양주,134.0669,33000,2009,2017-04-21,12,다산역,개통 전
오남읍 오남리,진주(5차),53.64,10400,1990,2017-04-18,3,다산역,개통 전
금곡동,서울,48.98,13000,1986,2017-04-26,2,다산역,개통 전
퇴계원읍 퇴계원리,신별내퇴계원어울림,101.8134,37000,2012,2017-04-11,1,다산역,개통 전
화도읍 창현리,창현주공,59.71,15400,1997,2017-04-22,12,다산역,개통 전
평내동,평내마을주공,59.53,20450,2004,2017-04-24,1,다산역,개통 전
진건읍 용정리,한신그린2차,84.94,19200,1993,2017-04-26,12,다산역,개통 전
진접읍 금곡리,남양휴튼,84.9767,29500,2010,2017-04-27,7,다산역,개통 전
다산동,한화꿈에그린,59.985,35400,2008,2017-04-15,13,다산역,개통 전
와부읍 덕소리,덕소주공3,59.99,24500,1998,2017-04-29,3,다산역,개통 전
와부읍 덕소리,강변삼익,84.81,33800,1996,2017-04-20,9,다산역,개통 전
다산동,경남아너스빌,84.95,35300,2008,2017-04-29,11,다산역,개통 전
오남읍 오남리,성도,59.7,12700,1993,2017-04-27,12,다산역,개통 전
다산동,플루리움2단지,162.454,47000,2002,2017-04-29,10,다산역,개통 전
진접읍 장현리,남양주진접롯데캐슬,84.941,25500,2009,2017-04-22,3,다산역,개통 전
다산동,플루리움3단지,124.619,40250,2001,2017-04-28,13,다산역,개통 전
별내동,신안인스빌,84.992,43400,2012,2017-04-22,4,다산역,개통 전
진접읍 금곡리,해밀마을5단지 반도유보라 메이플타운,84.8911,27500,2009,2017-04-26,1,다산역,개통 전
다산동,"플루리움4,5단지",84.732,38800,2000,2017-04-29,11,다산역,개통 전
와부읍 덕소리,벽산메가트리움,84.9675,30300,2007,2017-04-22,17,다산역,개통 전
호평동,호평파라곤,59.94,28400,2010,2017-04-29,19,다산역,개통 전
오남읍 오남리,남양주오남푸르지오,84.9634,27200,2009,2017-04-24,13,다산역,개통 전
와부읍 덕소리,동부센트레빌,134.04,43500,2006,2017-04-25,19,다산역,개통 전
별내동,동익미라벨(1058),111.34,52000,2013,2017-04-21,4,다산역,개통 전
평내동,평내마을중흥에스-클래스(1단지),84.9272,27550,2005,2017-04-25,2,다산역,개통 전
호평동,호평마을중흥에스-클래스,72.4986,25000,2005,2017-04-28,7,다산역,개통 전
진건읍 용정리,한신그린4차,84.9,19600,1996,2017-04-22,15,다산역,개통 전
와부읍 도곡리,한강우성,84.913,27500,1998,2017-04-22,19,다산역,개통 전
와부읍 도곡리,한강우성,59.891,24400,1998,2017-04-25,16,다산역,개통 전
와부읍 도곡리,한강우성,84.913,28500,1998,2017-04-25,14,다산역,개통 전
진접읍 금곡리,해밀마을5단지 반도유보라 메이플타운,84.8911,29000,2009,2017-04-16,4,다산역,개통 전
다산동,플루리움2단지,84.732,36700,2002,2017-04-17,8,다산역,개통 전
화도읍 창현리,창현두산2단지아파트,59.88,16800,1997,2017-04-15,8,다산역,개통 전
별내동,포레나별내,84.9981,44500,2012,2017-04-27,18,다산역,개통 전
화도읍 묵현리,삼익,134.94,23000,2003,2017-04-25,5,다산역,개통 전
와부읍 도곡리,강변해태,128.07,37000,1999,2017-04-25,15,다산역,개통 전
와부읍 덕소리,강산마을코오롱대성107동,59.94,24900,1999,2017-04-22,13,다산역,개통 전
호평동,호평마을한화꿈에그린,84.98,33500,2005,2017-04-23,14,다산역,개통 전
