법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
남산동,보성황실타운,59.96,13400,1993,2012-01-11,10,대구 3호선,개통 전
대봉동,센트로팰리스,141.466,44000,2007,2012-01-27,26,대구 3호선,개통 전
남산동,보성황실타운,59.96,12800,1993,2012-01-31,4,대구 3호선,개통 전
대봉동,청운맨션,84.93,17000,1986,2012-01-26,7,대구 3호선,개통 전
남산동,청라센트럴파크,84.99,22250,2008,2012-01-27,1,대구 3호선,개통 전
삼덕동2가,아진맨션,94.64,11900,1979,2012-01-17,2,대구 3호선,개통 전
남산동,송림맨션,84.965,14000,1992,2012-01-31,16,대구 3호선,개통 전
남산동,남산그린타운,53.4089,14000,2005,2012-01-17,5,대구 3호선,개통 전
남산동,남산그린타운,84.9597,22300,2005,2012-01-20,16,대구 3호선,개통 전
동인동4가,동인동삼정그린코아,84.7349,21400,2009,2012-01-04,20,대구 3호선,개통 전
대봉동,센트로팰리스,80.736,25500,2007,2012-01-30,13,대구 3호선,개통 전
대봉동,청구맨션,84.13,12000,1978,2012-01-20,7,대구 3호선,개통 전
대봉동,센트로팰리스,80.706,26250,2007,2012-01-05,21,대구 3호선,개통 전
남산동,청라센트럴파크,84.99,24300,2008,2012-01-18,13,대구 3호선,개통 전
남산동,청라센트럴파크,84.99,24500,2008,2012-01-20,2,대구 3호선,개통 전
남산동,보성황실타운,84.985,17800,1993,2012-01-26,18,대구 3호선,개통 전
태평로1가,태평,48.6,3900,1978,2012-01-25,5,대구 3호선,개통 전
남산동,남산그린타운,53.4089,14800,2005,2012-01-21,12,대구 3호선,개통 전
남산동,보성황실타운,84.985,18300,1993,2012-01-13,18,대구 3호선,개통 전
대신동,태왕아너스스카이,131.3415,31150,2006,2012-01-20,24,대구 3호선,개통 전
수창동,경진테크빌(102동),84.9,10300,2003,2012-01-12,5,대구 3호선,개통 전
남산동,남산그린타운,53.4089,14700,2005,2012-01-31,20,대구 3호선,개통 전
남산동,보성황실타운,59.96,13500,1993,2012-01-05,9,대구 3호선,개통 전
남산동,남문시장2지구,68.03,6000,1975,2012-01-10,5,대구 3호선,개통 전
남산동,남산그린타운,69.2406,19000,2005,2012-01-14,16,대구 3호선,개통 전
대봉동,청운맨션,84.93,17500,1986,2012-01-06,11,대구 3호선,개통 전
대봉동,청운맨션,84.93,17500,1986,2012-01-13,11,대구 3호선,개통 전
대봉동,센트로팰리스,80.706,25860,2007,2012-01-10,25,대구 3호선,개통 전
남산동,남산그린타운,53.4089,12300,2005,2012-01-05,2,대구 3호선,개통 전
태평로1가,태평라이프,46.41,4900,1985,2012-01-10,5,대구 3호선,개통 전
남산동,반월당삼정그린코아,132.15,28600,2007,2012-01-14,24,대구 3호선,개통 전
남산동,남산그린타운,110.0673,26000,2005,2012-01-03,20,대구 3호선,개통 전
남산동,보성황실타운,59.96,13300,1993,2012-01-11,17,대구 3호선,개통 전
남산동,보성황실타운,59.96,13500,1993,2012-01-03,16,대구 3호선,개통 전
대봉동,대봉화성파크드림,84.0484,21500,2006,2012-01-13,13,대구 3호선,개통 전
대봉동,센트로팰리스,153.045,40700,2007,2012-01-03,31,대구 3호선,개통 전
동산동,동산맨션,47.17,7050,1986,2012-01-11,3,대구 3호선,개통 전
대신동,광명,69.09,9500,1979,2012-01-13,3,대구 3호선,개통 전
대신동,광명,61.92,6000,1979,2012-01-11,5,대구 3호선,개통 전
남산동,보성황실타운,84.985,14000,1993,2012-01-11,7,대구 3호선,개통 전
남산동,송림맨션,134.585,14900,1992,2012-01-02,1,대구 3호선,개통 전
태평로1가,태평라이프,62.79,9300,1985,2012-01-04,6,대구 3호선,개통 전
대봉동,센트로팰리스,80.736,27700,2007,2012-01-05,9,대구 3호선,개통 전
남산동,남산그린타운,69.2406,19150,2005,2012-02-29,21,대구 3호선,개통 전
봉산동,봉산뜨란채,75.95,21900,2006,2012-02-28,18,대구 3호선,개통 전
남산동,보성황실타운,59.96,14000,1993,2012-02-21,19,대구 3호선,개통 전
남산동,남산그린타운,84.9597,21800,2005,2012-02-17,7,대구 3호선,개통 전
동인동1가,시티타운,59.91,9500,1997,2012-02-13,6,대구 3호선,개통 전
대봉동,센트로팰리스,129.185,40000,2007,2012-02-24,39,대구 3호선,개통 전
남산동,보성황실타운,84.985,19000,1993,2012-02-22,23,대구 3호선,개통 전
남산동,보성황실타운,134.955,21000,1993,2012-02-08,9,대구 3호선,개통 전
남산동,허브스카이,84.88,18750,2006,2012-02-10,6,대구 3호선,개통 전
남산동,남산그린타운,69.2406,19300,2005,2012-02-16,16,대구 3호선,개통 전
남산동,남산그린타운,53.4089,14800,2005,2012-02-21,20,대구 3호선,개통 전
대봉동,청구맨션,72.6,12600,1978,2012-02-27,6,대구 3호선,개통 전
남산동,보성황실타운,163.72,24000,1993,2012-02-14,24,대구 3호선,개통 전
남산동,반월당삼정그린코아,127.17,31750,2007,2012-02-28,12,대구 3호선,개통 전
대봉동,청운맨션,105.11,19800,1986,2012-02-24,6,대구 3호선,개통 전
남산동,보성황실타운,84.985,17900,1993,2012-02-18,15,대구 3호선,개통 전
남산동,반월당삼정그린코아,102.64,24900,2007,2012-02-01,13,대구 3호선,개통 전
대봉동,청운맨션,122.22,20200,1986,2012-02-13,9,대구 3호선,개통 전
남산동,송림맨션,134.585,15500,1992,2012-02-28,1,대구 3호선,개통 전
동인동4가,동인동삼정그린코아,84.7349,21200,2009,2012-02-22,16,대구 3호선,개통 전
동인동4가,동인동삼정그린코아,107.9019,26200,2009,2012-02-09,17,대구 3호선,개통 전
남산동,반월당삼정그린코아,129.83,28000,2007,2012-02-27,27,대구 3호선,개통 전
