법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
용전동,한숲,99.985,10500,1999,2005-10-19,1,대전 1호선,공사 중
판암동,주공1,45.77,2900,1990,2005-10-31,15,대전 1호선,공사 중
가양동,신도,70.67,3000,1978,2005-10-19,1,대전 1호선,공사 중
판암동,주공5,45.0,2600,1992,2005-11-09,6,대전 1호선,공사 중
가양동,한성잉꼬,39.6,2700,1987,2006-01-21,2,대전 1호선,공사 중
자양동,동아아파트(201),84.89,9650,1990,2006-01-27,5,대전 1호선,공사 중
가양동,대주파크빌,84.8236,15000,2006,2006-01-28,19,대전 1호선,공사 중
판암동,주공2,58.01,7000,1990,2006-01-31,8,대전 1호선,공사 중
홍도동,청룡,60.17,4000,1979,2006-01-30,5,대전 1호선,공사 중
가양동,대주파크빌,63.1748,11000,2006,2006-01-29,21,대전 1호선,공사 중
가양동,신도,65.52,5250,1978,2006-01-26,4,대전 1호선,공사 중
판암동,방주아파트,59.67,5200,1998,2006-01-28,3,대전 1호선,공사 중
용전동,한숲,59.925,7000,1999,2006-01-25,10,대전 1호선,공사 중
가양동,대주파크빌,63.1748,11450,2006,2006-01-25,16,대전 1호선,공사 중
가양동,대주파크빌,63.1748,11600,2006,2006-01-23,11,대전 1호선,공사 중
가양동,대주파크빌,63.1748,11500,2006,2006-01-25,7,대전 1호선,공사 중
가양동,대주파크빌,81.1171,14500,2006,2006-01-17,11,대전 1호선,공사 중
가양동,동신,71.61,3500,1979,2006-01-26,4,대전 1호선,공사 중
가양동,대주파크빌,81.1171,14300,2006,2006-01-24,5,대전 1호선,공사 중
가양동,신도,54.01,4100,1978,2006-01-25,5,대전 1호선,공사 중
가양동,대주파크빌,63.1748,11900,2006,2006-01-16,5,대전 1호선,공사 중
가양동,대주파크빌,81.1171,15000,2006,2006-01-13,9,대전 1호선,공사 중
용운동,용운주공2단지,64.62,7300,1987,2006-01-15,4,대전 1호선,공사 중
용전동,한울,33.551,4660,2002,2006-01-20,11,대전 1호선,공사 중
효동,효동현대,59.9025,10700,1998,2006-01-21,15,대전 1호선,공사 중
용전동,한숲,59.925,8000,1999,2006-01-08,8,대전 1호선,공사 중
판암동,주공2,79.07,10000,1990,2006-01-13,3,대전 1호선,공사 중
대성동,삼익세라믹,84.97,8400,1991,2006-01-20,6,대전 1호선,공사 중
용운동,용운주공2단지,32.39,3000,1987,2006-01-12,10,대전 1호선,공사 중
용운동,용운주공2단지,32.39,3090,1987,2006-01-23,10,대전 1호선,공사 중
용운동,용운주공2단지,41.3,3600,1987,2006-01-10,1,대전 1호선,공사 중
용전동,신동아,84.56,10500,1990,2006-01-15,10,대전 1호선,공사 중
용전동,한울,37.251,5130,2002,2006-01-20,10,대전 1호선,공사 중
용전동,한울,37.251,5130,2002,2006-01-20,7,대전 1호선,공사 중
용전동,한울,27.857,3750,2002,2006-01-20,5,대전 1호선,공사 중
판암동,주공2,58.01,7300,1990,2006-01-18,4,대전 1호선,공사 중
인동,부성한울,50.0982,7500,2003,2006-01-26,8,대전 1호선,공사 중
성남동,효촌마을,84.45,16000,2003,2006-01-10,3,대전 1호선,공사 중
용전동,한울,37.251,5130,2002,2006-01-20,6,대전 1호선,공사 중
판암동,주공5,44.94,4600,1992,2006-01-26,10,대전 1호선,공사 중
대성동,삼익세라믹,84.97,8000,1991,2006-01-20,14,대전 1호선,공사 중
가양동,평화,59.91,5800,1994,2006-01-09,3,대전 1호선,공사 중
가오동,주공(210),49.22,7300,1985,2006-01-24,5,대전 1호선,공사 중
인동,부성한울,81.4295,12000,2003,2006-01-19,4,대전 1호선,공사 중
용운동,용운주공2단지,54.9,5600,1987,2006-01-13,5,대전 1호선,공사 중
용운동,용운주공2단지,32.39,3050,1987,2006-01-19,5,대전 1호선,공사 중
용전동,한울,33.551,4660,2002,2006-01-20,11,대전 1호선,공사 중
용전동,한울,33.551,4660,2002,2006-01-20,10,대전 1호선,공사 중
용전동,한울,34.947,4760,2002,2006-01-20,9,대전 1호선,공사 중
용전동,한울,37.251,5130,2002,2006-01-20,7,대전 1호선,공사 중
용전동,한울,37.251,5130,2002,2006-01-20,8,대전 1호선,공사 중
용전동,한울,37.251,5130,2002,2006-01-20,3,대전 1호선,공사 중
용전동,한울,37.251,5130,2002,2006-01-20,2,대전 1호선,공사 중
판암동,주공2,79.07,11500,1990,2006-01-19,3,대전 1호선,공사 중
인동,세강듀오빌,59.9264,9848,2004,2006-01-26,3,대전 1호선,공사 중
판암동,주공2,58.01,7500,1990,2006-01-16,6,대전 1호선,공사 중
용운동,용운주공2단지,41.3,4250,1987,2006-01-17,8,대전 1호선,공사 중
성남동,효촌마을,84.45,18500,2003,2006-01-03,14,대전 1호선,공사 중
