법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
경서동,가이아샹베르2차,59.5607,15000,2005,2009-01-30,5,부평구청역,개통 전
마전동,동아,59.98,15000,1999,2009-01-31,14,부평구청역,개통 전
경서동,가이아샹베르2차,84.5496,26000,2005,2009-01-23,8,부평구청역,개통 전
심곡동,대동,59.91,17000,1995,2009-01-30,8,부평구청역,개통 전
가좌동,주공2,48.62,15500,1983,2009-01-19,4,부평구청역,개통 전
가정동,동우2,45.99,12150,1988,2009-01-12,2,부평구청역,개통 전
가좌동,한신휴플러스,143.47,44000,2007,2009-01-10,9,부평구청역,개통 전
당하동,신안실크벨리,59.9639,17500,2004,2009-01-29,12,부평구청역,개통 전
당하동,신안실크벨리,84.9922,25500,2004,2009-01-30,13,부평구청역,개통 전
공촌동,경남,59.96,14700,1998,2009-01-23,4,부평구청역,개통 전
검암동,서해그랑블,84.9634,29500,2003,2009-01-22,14,부평구청역,개통 전
마전동,동아,84.9,19000,1999,2009-01-14,3,부평구청역,개통 전
가정동,뉴서울(284-401),57.2,10000,1990,2009-01-29,8,부평구청역,개통 전
가좌동,한신휴플러스,84.98,32000,2007,2009-01-10,9,부평구청역,개통 전
심곡동,극동늘푸른,59.795,16000,1997,2009-01-30,14,부평구청역,개통 전
왕길동,유승,59.75,12000,2000,2009-01-24,15,부평구청역,개통 전
석남동,서인천월드메르디앙,59.9153,16000,2006,2009-01-29,1,부평구청역,개통 전
가정동,현광,41.49,11000,1989,2009-01-06,1,부평구청역,개통 전
마전동,검단2차풍림아이원,84.8495,19000,2005,2009-01-13,2,부평구청역,개통 전
마전동,동아,59.98,15500,1999,2009-01-14,7,부평구청역,개통 전
마전동,동아,84.9,19900,1999,2009-01-14,13,부평구청역,개통 전
경서동,가이아샹베르2차,84.5496,25000,2005,2009-01-23,7,부평구청역,개통 전
심곡동,대동,84.96,26300,1995,2009-01-12,8,부평구청역,개통 전
가좌동,신명1,53.31,10700,1990,2009-01-20,5,부평구청역,개통 전
당하동,신안실크벨리,59.9639,17500,2004,2009-01-28,11,부평구청역,개통 전
마전동,동아,84.9,19700,1999,2009-01-13,15,부평구청역,개통 전
원당동,원당LG자이(원당지구69BL1L),84.9511,26300,2004,2009-01-20,9,부평구청역,개통 전
신현동,효성,70.82,16000,1991,2009-01-16,10,부평구청역,개통 전
검암동,서해그랑블,84.9634,27000,2003,2009-01-30,5,부평구청역,개통 전
석남동,신광(206),59.91,14000,1997,2009-01-17,5,부평구청역,개통 전
가정동,하나3,82.7,21800,1993,2009-01-16,14,부평구청역,개통 전
가정동,뉴서울(284-401),57.2,18000,1990,2009-01-12,4,부평구청역,개통 전
당하동,당하KCC스위첸,84.997,21950,2005,2009-01-06,7,부평구청역,개통 전
당하동,신안실크벨리,59.9639,18200,2004,2009-01-08,11,부평구청역,개통 전
검암동,풍림아이원2차,84.93,25000,2004,2009-01-13,12,부평구청역,개통 전
마전동,영남탑스빌,153.03,39000,2000,2009-01-12,10,부평구청역,개통 전
마전동,동아,84.9,22000,1999,2009-01-21,16,부평구청역,개통 전
불로동,퀸스타운(길훈),59.72,14100,1999,2009-01-06,11,부평구청역,개통 전
석남동,동남,42.21,11500,1989,2009-01-24,3,부평구청역,개통 전
경서동,태평샹베르1차,59.5607,19000,2005,2009-01-17,9,부평구청역,개통 전
검암동,신명스카이뷰1,84.966,25000,2003,2009-01-22,5,부평구청역,개통 전
검암동,풍림아이원2차,84.93,24000,2004,2009-01-22,3,부평구청역,개통 전
검암동,신명스카이뷰1,84.966,25000,2003,2009-01-08,14,부평구청역,개통 전
검암동,검암4차신명스카이뷰,84.5888,23500,2004,2009-01-05,11,부평구청역,개통 전
검암동,검암4차신명스카이뷰,84.5888,25500,2004,2009-01-20,10,부평구청역,개통 전
석남동,보광네오센스,59.96,19500,2003,2009-01-30,5,부평구청역,개통 전
불로동,퀸스타운(신명),59.72,14400,1998,2009-01-03,6,부평구청역,개통 전
당하동,신안실크벨리,59.9639,16500,2004,2009-01-06,9,부평구청역,개통 전
당하동,신안실크벨리,59.9639,17500,2004,2009-01-13,4,부평구청역,개통 전
불로동,월드,59.77,15600,1998,2009-01-12,16,부평구청역,개통 전
왕길동,원흥,59.79,12950,1993,2009-01-19,3,부평구청역,개통 전
당하동,태평,59.97,15500,1999,2009-01-14,6,부평구청역,개통 전
가정동,현광,41.49,10200,1989,2009-01-06,3,부평구청역,개통 전
