법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
안녕동,병점역동문굿모닝힐,84.9907,24000,2006,2007-01-10,3,서동탄역,개통 전
기안동,신일해피트리,84.9745,19500,2004,2007-01-15,1,서동탄역,개통 전
남양읍 신남리,기산베스트빌,84.9856,10200,2001,2007-01-03,10,서동탄역,개통 전
기산동,신동탄푸르지오,84.9001,27100,2005,2007-01-28,9,서동탄역,개통 전
봉담읍 상리,한신,84.925,16300,1997,2007-01-26,13,서동탄역,개통 전
병점동,병점성호,84.965,17000,2001,2007-01-23,1,서동탄역,개통 전
봉담읍 와우리,수성효성,44.28,5300,1996,2007-01-23,9,서동탄역,개통 전
반월동,신영통현대3차,59.76,17500,2001,2007-01-31,9,서동탄역,개통 전
송산동,신현대2차,58.14,9200,1992,2007-01-29,1,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5435,2002,2007-01-30,2,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5435,2002,2007-01-30,2,서동탄역,개통 전
송산동,신현대2차,58.14,9200,1992,2007-01-29,2,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5435,2002,2007-01-30,4,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5530,2002,2007-01-30,9,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5530,2002,2007-01-30,15,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5530,2002,2007-01-30,17,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5492,2002,2007-01-30,19,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4467,2002,2007-01-31,9,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5302,2002,2007-01-30,1,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4433,2002,2007-01-30,11,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4458,2002,2007-01-30,18,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5407,2002,2007-01-30,17,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4545,2002,2007-01-30,12,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4545,2002,2007-01-30,14,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5407,2002,2007-01-30,17,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5369,2002,2007-01-30,18,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5407,2002,2007-01-31,11,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5390,2002,2007-01-31,1,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5390,2002,2007-01-31,1,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5435,2002,2007-01-31,4,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4545,2002,2007-01-30,14,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4433,2002,2007-01-31,6,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4433,2002,2007-01-31,9,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4458,2002,2007-01-31,10,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4545,2002,2007-01-31,17,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5530,2002,2007-01-31,14,서동탄역,개통 전
병점동,병점역센트럴허브시티,84.925,30500,2004,2007-01-29,4,서동탄역,개통 전
병점동,주공1단지,39.99,7300,1997,2007-01-04,15,서동탄역,개통 전
남양읍 남양리,남양우림,59.301,8700,2001,2007-01-25,14,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5437,2002,2007-01-24,18,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5487,2002,2007-01-24,8,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5582,2002,2007-01-26,11,서동탄역,개통 전
팔탄면 가재리,진우,39.6,4375,2002,2007-01-30,3,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5487,2002,2007-01-30,14,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5582,2002,2007-01-31,14,서동탄역,개통 전
팔탄면 가재리,진우,49.5,5487,2002,2007-01-31,15,서동탄역,개통 전
안녕동,병점역성호플레르빌,84.9884,17000,2002,2007-01-29,2,서동탄역,개통 전
비봉면 양노리,천산스카이빌,84.428,14000,2004,2007-01-30,7,서동탄역,개통 전
병점동,신미주,84.789,26000,1999,2007-01-26,15,서동탄역,개통 전
봉담읍 와우리,다온마을쌍용스윗닷홈,84.5862,17270,2006,2007-01-24,1,서동탄역,개통 전
병점동,주공1단지,59.47,14000,1997,2007-01-31,6,서동탄역,개통 전
기안동,평생플러스빌,83.9252,14750,2001,2007-01-29,11,서동탄역,개통 전
병점동,병점성호,59.635,14500,2001,2007-01-30,5,서동탄역,개통 전
안녕동,남산마을청광플러스원,84.9062,14100,2004,2007-01-22,9,서동탄역,개통 전
병점동,주공1단지,39.99,7200,1997,2007-01-23,12,서동탄역,개통 전
봉담읍 와우리,신명,59.96,9600,1999,2007-01-30,12,서동탄역,개통 전
남양읍 남양리,남양우림,59.301,9800,2001,2007-01-22,14,서동탄역,개통 전
장안면 사곡리,산호,59.88,7000,1996,2007-01-26,6,서동탄역,개통 전
비봉면 양노리,천산스카이빌,84.428,10000,2004,2007-01-25,13,서동탄역,개통 전
봉담읍 와우리,신명,59.96,9000,1999,2007-01-31,3,서동탄역,개통 전
기안동,신일해피트리,84.9745,19000,2004,2007-01-20,13,서동탄역,개통 전
봉담읍 동화리,신일우남클래식타운,59.855,10000,1999,2007-01-16,8,서동탄역,개통 전
기안동,우림그린빌리지,83.39,10500,2001,2007-01-29,13,서동탄역,개통 전
봉담읍 와우리,다온마을쌍용스윗닷홈,59.8333,14200,2006,2007-01-30,12,서동탄역,개통 전
안녕동,병점역성호플레르빌,59.9835,10000,2002,2007-01-24,1,서동탄역,개통 전
봉담읍 와우리,신명,59.96,9500,1999,2007-01-31,10,서동탄역,개통 전
병점동,병점성호,59.635,14900,2001,2007-01-19,9,서동탄역,개통 전
