법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
대치동,동부센트레빌,145.83,220000,2005,2017-01-10,27,수서역 GTX-A,개통 전
역삼동,역삼I'PARK,28.246,46000,2006,2017-01-20,10,수서역 GTX-A,개통 전
역삼동,래미안그레이튼(진달래2차),84.81,114000,2010,2017-01-31,14,수서역 GTX-A,개통 전
일원동,우성7,68.39,90000,1987,2017-01-25,4,수서역 GTX-A,개통 전
대치동,선경1차(1동-7동),136.68,210000,1983,2017-01-30,2,수서역 GTX-A,개통 전
삼성동,푸른솔아파트1동,84.9,88700,1996,2017-01-27,8,수서역 GTX-A,개통 전
자곡동,강남브리즈힐(토지임대부아파트),74.04,57000,2014,2017-01-25,9,수서역 GTX-A,개통 전
일원동,상록수,74.54,94500,1993,2017-01-25,3,수서역 GTX-A,개통 전
개포동,쌍용,166.54,97000,1995,2017-01-26,3,수서역 GTX-A,개통 전
역삼동,한화진넥스빌,42.52,26750,2001,2017-01-14,13,수서역 GTX-A,개통 전
대치동,은마,84.43,125000,1979,2017-01-19,7,수서역 GTX-A,개통 전
도곡동,도곡쌍용예가,112.86,116000,1978,2017-01-17,8,수서역 GTX-A,개통 전
자곡동,강남한양수자인(4단지),84.89,85000,2014,2017-01-24,4,수서역 GTX-A,개통 전
대치동,개포우성1,127.61,220000,1983,2017-01-25,9,수서역 GTX-A,개통 전
삼성동,세방타운하우스,134.4,90000,1998,2017-01-23,1,수서역 GTX-A,개통 전
대치동,포스코더샵,139.54,158500,2004,2017-01-23,18,수서역 GTX-A,개통 전
신사동,신성아파트101동,84.9,88000,1996,2017-01-24,5,수서역 GTX-A,개통 전
대치동,선경1차(1동-7동),84.35,146000,1983,2017-01-23,7,수서역 GTX-A,개통 전
압구정동,한양4,101.09,158000,1978,2017-01-25,13,수서역 GTX-A,개통 전
압구정동,한양5,100.5,158000,1979,2017-01-25,4,수서역 GTX-A,개통 전
대치동,은마,84.43,127000,1979,2017-01-17,5,수서역 GTX-A,개통 전
삼성동,래미안삼성2차,105.5,139300,2007,2017-01-16,7,수서역 GTX-A,개통 전
일원동,우성7,83.69,105000,1987,2017-01-25,9,수서역 GTX-A,개통 전
대치동,은마,76.79,115000,1979,2017-01-23,10,수서역 GTX-A,개통 전
대치동,래미안대치하이스턴,110.39,130000,1989,2017-01-20,2,수서역 GTX-A,개통 전
청담동,청담현대3차아파트,109.53,110000,1999,2017-01-15,5,수서역 GTX-A,개통 전
대치동,은마,76.79,110800,1979,2017-01-14,12,수서역 GTX-A,개통 전
세곡동,세곡푸르지오,84.84,80000,2012,2017-01-21,10,수서역 GTX-A,개통 전
대치동,은마,84.43,126000,1979,2017-01-17,12,수서역 GTX-A,개통 전
도곡동,한신(개포),59.48,84000,1985,2017-01-24,2,수서역 GTX-A,개통 전
대치동,선릉역대우아이빌(890-49),25.42,22000,2004,2017-01-18,13,수서역 GTX-A,개통 전
대치동,은마,84.43,122800,1979,2017-01-25,1,수서역 GTX-A,개통 전
개포동,개포주공1단지,50.38,115000,1982,2017-01-16,3,수서역 GTX-A,개통 전
역삼동,래미안그레이튼(진달래2차),59.78,90000,2010,2017-01-17,18,수서역 GTX-A,개통 전
대치동,은마,84.43,125000,1979,2017-01-17,10,수서역 GTX-A,개통 전
대치동,은마,76.79,110000,1979,2017-01-10,4,수서역 GTX-A,개통 전
도곡동,타워팰리스1,137.24,170000,2002,2017-01-27,40,수서역 GTX-A,개통 전
