법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
정왕동,문영센스빌,59.937,21000,2002,2015-01-05,9,시흥시청역,개통 전
정왕동,대우,84.9868,20500,1996,2015-01-17,4,시흥시청역,개통 전
장현동,새재마을대동,59.96,17500,1999,2015-01-02,8,시흥시청역,개통 전
거모동,하이얀(1772-4),76.63,16800,2002,2015-01-31,10,시흥시청역,개통 전
월곶동,풍림아이원1차,32.95,9400,2002,2015-01-03,1,시흥시청역,개통 전
포동,산과우리들포동태산,72.19,16450,1993,2015-01-31,9,시흥시청역,개통 전
정왕동,계룡2,59.85,17400,1998,2015-01-31,3,시흥시청역,개통 전
월곶동,풍림아이원1차,32.95,10800,2002,2015-01-30,17,시흥시청역,개통 전
대야동,서해,59.85,19000,1997,2015-01-26,20,시흥시청역,개통 전
은행동,풍림아이원,84.488,23800,2003,2015-01-28,10,시흥시청역,개통 전
신천동,경남아너스빌아파트,84.8762,28000,2005,2015-01-26,10,시흥시청역,개통 전
신천동,경남아너스빌아파트,59.9769,21500,2005,2015-01-25,11,시흥시청역,개통 전
은행동,대우푸르지오1차,78.9,22800,1996,2015-01-29,2,시흥시청역,개통 전
은행동,대우푸르지오4차,84.7561,32450,2004,2015-01-17,14,시흥시청역,개통 전
정왕동,서해2,103.07,23100,1998,2015-01-28,1,시흥시청역,개통 전
거모동,동보,84.965,17800,1999,2015-01-21,16,시흥시청역,개통 전
정왕동,주공2,59.67,15950,1997,2015-01-31,2,시흥시청역,개통 전
대야동,우성2,59.96,20700,1995,2015-01-30,4,시흥시청역,개통 전
장곡동,진말대우아파트,99.95,27700,1999,2015-01-26,6,시흥시청역,개통 전
은행동,시흥성원샹떼빌,37.8,10400,1995,2015-01-26,3,시흥시청역,개통 전
거모동,아주3,59.775,12900,1992,2015-01-27,18,시흥시청역,개통 전
거모동,동보,63.2,13350,1999,2015-01-31,20,시흥시청역,개통 전
정왕동,신동아,84.883,21250,1996,2015-01-31,4,시흥시청역,개통 전
정왕동,주공5,84.84,23300,1998,2015-01-30,2,시흥시청역,개통 전
장곡동,삼성래미안,84.97,20900,1999,2015-01-20,4,시흥시청역,개통 전
거모동,동운디오빌,84.62,21300,2004,2015-01-26,9,시흥시청역,개통 전
정왕동,건영4,84.93,22400,2000,2015-01-31,5,시흥시청역,개통 전
장현동,새재마을대동,59.96,18500,1999,2015-01-29,9,시흥시청역,개통 전
정왕동,주공6,59.94,18500,1998,2015-01-27,6,시흥시청역,개통 전
장곡동,숲속마을,99.98,26000,1999,2015-01-31,8,시흥시청역,개통 전
장곡동,삼성래미안,74.464,18200,1999,2015-01-31,1,시흥시청역,개통 전
정왕동,주공5,59.66,17700,1998,2015-01-25,3,시흥시청역,개통 전
은행동,예스라이프,56.966,19300,2008,2015-01-31,10,시흥시청역,개통 전
대야동,우남한신,84.925,24500,1996,2015-01-26,14,시흥시청역,개통 전
월곶동,풍림아이원2차,37.918,13300,2005,2015-01-30,2,시흥시청역,개통 전
대야동,늘푸른벽산,99.92,29350,1995,2015-01-28,13,시흥시청역,개통 전
정왕동,주공2,59.67,16400,1997,2015-01-31,7,시흥시청역,개통 전
포동,산과우리들포동태산,59.95,12450,1993,2015-01-29,12,시흥시청역,개통 전
월곶동,풍림아이원2차,84.829,21400,2005,2015-01-29,3,시흥시청역,개통 전
월곶동,알파시티,16.8,6400,2013,2015-01-20,4,시흥시청역,개통 전
은행동,대우푸르지오3차,59.258,21000,1998,2015-01-28,19,시흥시청역,개통 전
포동,동진,59.91,10450,1992,2015-01-28,6,시흥시청역,개통 전
거모동,하이얀(1772-15),66.56,15500,2003,2015-01-29,10,시흥시청역,개통 전
정왕동,삼환,59.88,17800,1997,2015-01-21,3,시흥시청역,개통 전
신천동,경남아너스빌아파트,84.8762,28500,2005,2015-01-20,11,시흥시청역,개통 전
능곡동,상록힐스테이트,85.0,30700,2009,2015-01-23,9,시흥시청역,개통 전
은행동,대우푸르지오3차,84.908,29600,1998,2015-01-05,10,시흥시청역,개통 전
정왕동,건영1,59.82,16200,1997,2015-01-16,8,시흥시청역,개통 전
정왕동,무진,59.58,16900,1995,2015-01-24,4,시흥시청역,개통 전
거모동,유호,59.82,16700,1998,2015-01-31,10,시흥시청역,개통 전
은행동,벽산3차,59.95,19950,1998,2015-01-29,6,시흥시청역,개통 전
정왕동,세종1,74.56,19100,1996,2015-01-24,4,시흥시청역,개통 전
대야동,서강2,59.98,20300,1997,2015-01-27,12,시흥시청역,개통 전
은행동,대우푸르지오3차,59.258,23000,1998,2015-01-27,4,시흥시청역,개통 전
은행동,광덕2,62.46,13900,1991,2015-01-14,6,시흥시청역,개통 전
대야동,서강2,59.98,19100,1997,2015-01-10,2,시흥시청역,개통 전
월곶동,월곶4차풍림아이원,84.842,24000,2006,2015-01-22,17,시흥시청역,개통 전
포동,산과우리들포동태산,72.19,15800,1993,2015-01-15,6,시흥시청역,개통 전
하상동,연꽃마을금호,84.85,23500,1999,2015-01-21,13,시흥시청역,개통 전
대야동,벽산,84.54,23000,1992,2015-01-21,2,시흥시청역,개통 전
대야동,늘푸른벽산,99.92,28700,1995,2015-01-20,10,시흥시청역,개통 전
하상동,연꽃마을대우삼호아파트,59.88,15000,1999,2015-01-28,3,시흥시청역,개통 전
정왕동,주공6,59.94,16600,1998,2015-01-26,2,시흥시청역,개통 전
조남동,삼호가든아파트,59.95,16200,1997,2015-01-24,21,시흥시청역,개통 전
조남동,가야,43.94,9500,1990,2015-01-12,1,시흥시청역,개통 전
월곶동,풍림아이원2차,59.989,18600,2005,2015-01-31,3,시흥시청역,개통 전
장곡동,숲속마을,59.965,15000,1999,2015-01-20,2,시흥시청역,개통 전
신천동,동진,49.27,10500,1991,2015-01-31,4,시흥시청역,개통 전
장곡동,연성대우3,79.7124,23000,2000,2015-01-15,15,시흥시청역,개통 전
은행동,대우푸르지오4차,71.9352,29200,2004,2015-01-12,6,시흥시청역,개통 전
정왕동,동원,84.75,22300,1998,2015-01-25,10,시흥시청역,개통 전
능곡동,우남퍼스트빌,84.894,31500,2011,2015-01-26,3,시흥시청역,개통 전
도창동,에이스,59.34,14400,1997,2015-01-31,7,시흥시청역,개통 전
정왕동,보성,59.89,19300,1998,2015-01-15,7,시흥시청역,개통 전
논곡동,산호,59.79,13300,1992,2015-01-23,16,시흥시청역,개통 전
정왕동,동남,46.95,13850,1998,2015-01-17,5,시흥시청역,개통 전
정왕동,영남6,59.99,18500,1997,2015-01-15,7,시흥시청역,개통 전
은행동,대우푸르지오3차,59.258,21600,1998,2015-01-17,20,시흥시청역,개통 전
장곡동,동양덱스빌,59.94,17700,1999,2015-01-31,15,시흥시청역,개통 전
은행동,대우푸르지오4차,84.7561,33400,2004,2015-01-15,16,시흥시청역,개통 전
장곡동,숲속마을,59.965,16500,1999,2015-01-24,15,시흥시청역,개통 전
장곡동,숲속마을,59.965,16000,1999,2015-01-22,19,시흥시청역,개통 전
대야동,우성2,59.96,20600,1995,2015-01-14,12,시흥시청역,개통 전
대야동,서강2,59.98,19500,1997,2015-01-23,5,시흥시청역,개통 전
정왕동,주공1,59.57,14800,1997,2015-01-30,1,시흥시청역,개통 전
은행동,대우푸르지오4차,84.7561,32500,2004,2015-01-30,3,시흥시청역,개통 전
포동,산과우리들포동태산,84.03,18000,1993,2015-01-31,18,시흥시청역,개통 전
대야동,우성2,59.96,21500,1995,2015-01-15,12,시흥시청역,개통 전
조남동,수정,84.84,18900,1994,2015-01-31,15,시흥시청역,개통 전
목감동,대명,74.16,16000,1990,2015-01-28,6,시흥시청역,개통 전
조남동,삼호가든아파트,84.98,25000,1997,2015-01-15,17,시흥시청역,개통 전
미산동,해가든더클래식,148.8,36000,2009,2015-01-20,13,시흥시청역,개통 전
장현동,새재마을대동,59.85,17000,1999,2015-01-12,13,시흥시청역,개통 전
장곡동,숲속마을,59.755,15000,1999,2015-01-17,19,시흥시청역,개통 전
장곡동,숲속마을,59.755,17800,1999,2015-01-21,16,시흥시청역,개통 전
죽율동,시흥6차푸르지오2단지,84.98,27000,2013,2015-01-29,7,시흥시청역,개통 전
정왕동,건영5,84.92,22900,2002,2015-01-21,10,시흥시청역,개통 전
