법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
개포동,개포주공1단지,58.08,97000,1982,2006-01-21,3,신논현역,개통 전
도곡동,중명하니빌,33.12,9500,1997,2006-01-31,7,신논현역,개통 전
압구정동,"현대5차(71,72동)",82.23,138000,1977,2006-01-29,9,신논현역,개통 전
도곡동,삼성래미안,59.96,52500,2001,2006-01-15,24,신논현역,개통 전
대치동,대치현대,59.82,38900,1999,2006-01-23,3,신논현역,개통 전
개포동,삼익대청아파트,60.0,45250,1992,2006-01-20,9,신논현역,개통 전
개포동,개포주공4단지,42.55,55300,1982,2006-01-21,3,신논현역,개통 전
삼성동,삼성동한솔아파트,58.57,32500,1998,2006-01-17,4,신논현역,개통 전
개포동,성원대치2단지아파트,49.86,33000,1992,2006-01-13,6,신논현역,개통 전
일원동,수서,52.29,24500,1992,2006-01-27,12,신논현역,개통 전
개포동,삼익대청아파트,39.53,23720,1992,2006-01-16,15,신논현역,개통 전
수서동,신동아,39.53,23400,1992,2006-01-02,5,신논현역,개통 전
개포동,성원대치2단지아파트,49.86,34200,1992,2006-01-17,7,신논현역,개통 전
수서동,신동아,49.96,26400,1992,2006-01-27,14,신논현역,개통 전
수서동,신동아,33.18,16600,1992,2006-01-18,9,신논현역,개통 전
수서동,신동아,49.96,27700,1992,2006-01-25,14,신논현역,개통 전
역삼동,한스빌(836),39.89,11000,1996,2006-01-25,5,신논현역,개통 전
대치동,대우아이빌명문가(891-23),34.2,13000,2004,2006-01-18,11,신논현역,개통 전
역삼동,e-편한세상,59.606,52000,2005,2006-01-06,5,신논현역,개통 전
도곡동,삼성,54.81,48500,1994,2006-01-27,5,신논현역,개통 전
개포동,개포주공4단지,42.55,55000,1982,2006-01-16,3,신논현역,개통 전
개포동,시영,28.79,34000,1984,2006-01-25,4,신논현역,개통 전
개포동,성원대치2단지아파트,49.86,34650,1992,2006-01-23,8,신논현역,개통 전
역삼동,역삼푸르지오,59.8848,50000,2006,2006-01-11,12,신논현역,개통 전
