법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
방학동,신동아아파트1,43.35,16000,1986,2017-01-31,2,신림선,개통 전
방학동,신동아아파트1,43.35,16300,1986,2017-01-23,5,신림선,개통 전
쌍문동,삼익세라믹,42.93,19200,1988,2017-01-31,3,신림선,개통 전
창동,주공19단지(창동리버타운),68.86,34000,1988,2017-01-24,5,신림선,개통 전
창동,신창,49.77,21300,1998,2017-01-24,6,신림선,개통 전
창동,창동주공2단지,36.16,21550,1990,2017-01-21,8,신림선,개통 전
쌍문동,한양1,66.33,32800,1986,2017-01-26,4,신림선,개통 전
방학동,벽산아파트1,52.36,22000,1991,2017-01-18,9,신림선,개통 전
창동,쌍용,84.76,47000,1997,2017-01-18,19,신림선,개통 전
도봉동,한신,84.94,30200,1995,2017-01-19,14,신림선,개통 전
쌍문동,청구,84.63,31000,1996,2017-01-24,2,신림선,개통 전
창동,쌍용,84.76,42000,1997,2017-01-31,24,신림선,개통 전
도봉동,한신,84.94,33000,1995,2017-01-19,11,신림선,개통 전
방학동,이에스에이아파트1,124.66,46850,2003,2017-01-26,18,신림선,개통 전
창동,주공19단지(창동리버타운),68.86,33800,1988,2017-01-11,13,신림선,개통 전
창동,동아청솔,59.445,34500,1997,2017-01-12,14,신림선,개통 전
쌍문동,청구,84.63,31500,1996,2017-01-24,2,신림선,개통 전
방학동,방학동삼성래미안1,134.981,60000,2002,2017-01-25,6,신림선,개통 전
방학동,태솔에버빌(712-5),74.66,24200,2008,2017-01-20,6,신림선,개통 전
창동,금강101,73.16,23000,2002,2017-01-11,5,신림선,개통 전
방학동,삼익세라믹아파트,58.77,23000,1988,2017-01-06,8,신림선,개통 전
창동,창동주공4단지,49.94,26200,1991,2017-01-20,5,신림선,개통 전
방학동,브라운스톤방학아파트,84.98,37300,2003,2017-01-25,4,신림선,개통 전
방학동,신동아아파트1,70.62,26000,1986,2017-01-24,4,신림선,개통 전
창동,LIG건영캐스빌,80.1498,37000,2002,2017-01-30,18,신림선,개통 전
도봉동,한신,84.94,30750,1995,2017-01-01,3,신림선,개통 전
도봉동,한신,84.94,32000,1995,2017-01-20,3,신림선,개통 전
방학동,대상타운현대아파트,164.15,81000,2001,2017-01-13,18,신림선,개통 전
방학동,신동아아파트1,70.62,25000,1986,2017-01-31,6,신림선,개통 전
창동,창동주공4단지,49.94,26000,1991,2017-01-05,6,신림선,개통 전
방학동,벽산아파트1,84.9,30600,1991,2017-01-26,14,신림선,개통 전
방학동,대원그린아파트,53.7,18500,1987,2017-01-19,2,신림선,개통 전
창동,상아1차아파트,69.03,32500,1987,2017-01-14,8,신림선,개통 전
창동,동아청솔,84.97,39500,1997,2017-01-06,1,신림선,개통 전
창동,쌍용,59.88,36000,1997,2017-01-31,15,신림선,개통 전
창동,창동2차현대,84.504,43500,2001,2017-01-06,19,신림선,개통 전
도봉동,한신,84.94,29200,1995,2017-01-25,2,신림선,개통 전
창동,주공17단지,36.16,17000,1989,2017-01-12,11,신림선,개통 전
방학동,신동아아파트4,84.9,27500,1995,2017-01-10,2,신림선,개통 전
창동,창동주공2단지,45.9,20000,1990,2017-01-17,1,신림선,개통 전
창동,주공19단지(창동리버타운),60.5,31300,1988,2017-01-24,8,신림선,개통 전
