법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
남산동,남산그린타운,110.0673,36200,2005,2017-01-21,7,안심~하양 연장,개통 전
대봉동,센트로팰리스,179.463,63800,2007,2017-01-24,33,안심~하양 연장,개통 전
대신동,태왕아너스스카이,84.9293,36000,2006,2017-01-23,20,안심~하양 연장,개통 전
남산동,극동스타클래스남산,84.985,39000,2014,2017-01-25,23,안심~하양 연장,개통 전
남산동,인터불고코아시스,26.9326,11900,2014,2017-01-16,8,안심~하양 연장,개통 전
삼덕동3가,삼덕청아람,59.989,30000,2013,2017-01-20,18,안심~하양 연장,개통 전
대신동,태왕아너스스카이,191.3881,53000,2006,2017-01-05,2,안심~하양 연장,개통 전
남산동,청라센트럴파크,76.99,33000,2008,2017-01-06,12,안심~하양 연장,개통 전
대봉동,센트로팰리스,153.045,51000,2007,2017-01-03,11,안심~하양 연장,개통 전
남산동,남산그린타운,110.0673,36500,2005,2017-01-25,6,안심~하양 연장,개통 전
남산동,청라센트럴파크,84.99,37500,2008,2017-01-25,19,안심~하양 연장,개통 전
남산동,까치,59.66,13500,1992,2017-01-04,15,안심~하양 연장,개통 전
남산동,송림맨션,84.965,24000,1992,2017-01-03,16,안심~하양 연장,개통 전
대신동,태왕아너스스카이,75.9791,32200,2006,2017-01-09,20,안심~하양 연장,개통 전
남산동,남산그린타운,53.4089,22900,2005,2017-01-16,6,안심~하양 연장,개통 전
남산동,송림맨션,59.99,17500,1992,2017-01-19,7,안심~하양 연장,개통 전
봉산동,봉산뜨란채,75.58,28000,2006,2017-01-23,7,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,84.9343,40970,2014,2017-01-20,29,안심~하양 연장,개통 전
남산동,까치,53.6,13700,1992,2017-01-12,11,안심~하양 연장,개통 전
대봉동,대봉태왕아너스,77.98,38000,2015,2017-01-14,14,안심~하양 연장,개통 전
남산동,인터불고코아시스,19.7671,8470,2014,2017-01-23,15,안심~하양 연장,개통 전
남산동,부림베스트빌,82.91,17500,2001,2017-01-09,2,안심~하양 연장,개통 전
남산동,송림맨션,84.965,21000,1992,2017-01-14,5,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.8748,29800,2014,2017-01-10,28,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.838,35900,2015,2017-01-11,11,안심~하양 연장,개통 전
대봉동,대봉화성파크드림,84.0484,29500,2006,2017-02-25,8,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.838,41700,2015,2017-02-22,7,안심~하양 연장,개통 전
대신동,대신센트럴자이,59.957,33500,2015,2017-02-19,24,안심~하양 연장,개통 전
남산동,삼성솔라,143.98,35050,1983,2017-02-24,12,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.838,39500,2015,2017-02-26,2,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.8748,30000,2014,2017-02-15,14,안심~하양 연장,개통 전
남산동,청라센트럴파크,76.99,33400,2008,2017-02-15,7,안심~하양 연장,개통 전
삼덕동3가,삼덕청아람,84.7978,41000,2013,2017-02-18,3,안심~하양 연장,개통 전
삼덕동3가,삼덕청아람,84.5739,42000,2013,2017-02-17,35,안심~하양 연장,개통 전
남산동,까치,59.66,15000,1992,2017-02-19,7,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,84.9343,41000,2014,2017-02-02,7,안심~하양 연장,개통 전
동산동,동산맨션,41.98,11000,1986,2017-02-15,7,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,84.9343,38500,2014,2017-02-04,4,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.716,29800,2014,2017-02-25,17,안심~하양 연장,개통 전
삼덕동3가,삼덕청아람,84.7528,42000,2013,2017-02-27,7,안심~하양 연장,개통 전
동인동1가,시티타운,59.91,19730,1997,2017-02-27,9,안심~하양 연장,개통 전
대봉동,센트로팰리스,80.736,39500,2007,2017-02-19,17,안심~하양 연장,개통 전
삼덕동3가,삼덕청아람,84.7528,41900,2013,2017-02-03,8,안심~하양 연장,개통 전
대봉동,센트로팰리스,80.736,39000,2007,2017-02-17,20,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.8748,30800,2014,2017-02-11,11,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.838,42900,2015,2017-02-16,9,안심~하양 연장,개통 전
대신동,태왕아너스스카이,131.3415,45900,2006,2017-02-15,17,안심~하양 연장,개통 전
대신동,태왕아너스스카이,84.9293,36000,2006,2017-02-09,9,안심~하양 연장,개통 전
대봉동,대봉화성파크드림,79.737,29000,2006,2017-02-22,14,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.838,42500,2015,2017-02-12,24,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.924,41000,2015,2017-02-27,29,안심~하양 연장,개통 전
남산동,송림맨션,84.965,23000,1992,2017-02-17,12,안심~하양 연장,개통 전
남산동,보성황실타운,59.96,20400,1993,2017-02-13,9,안심~하양 연장,개통 전
남산동,보성황실타운,59.96,19800,1993,2017-02-07,20,안심~하양 연장,개통 전
남산동,보성황실타운,59.96,20200,1993,2017-02-14,16,안심~하양 연장,개통 전
대신동,대신센트럴자이,59.957,32600,2015,2017-02-14,11,안심~하양 연장,개통 전
남산동,청라센트럴파크,84.93,35700,2008,2017-02-27,14,안심~하양 연장,개통 전
대봉동,센트로팰리스,141.466,53000,2007,2017-02-18,8,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.716,29000,2014,2017-02-28,7,안심~하양 연장,개통 전
남산동,남산그린타운,69.2406,27400,2005,2017-02-24,15,안심~하양 연장,개통 전
봉산동,봉산뜨란채,59.38,28000,2006,2017-02-11,16,안심~하양 연장,개통 전
대봉동,청구맨션,84.13,20000,1978,2017-02-19,2,안심~하양 연장,개통 전
남산동,극동스타클래스남산,78.5004,36700,2014,2017-02-04,18,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.52,29500,2014,2017-02-09,11,안심~하양 연장,개통 전
동인동4가,동인동삼정그린코아,84.7349,33300,2009,2017-02-06,14,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.924,43000,2015,2017-02-26,27,안심~하양 연장,개통 전
대봉동,청구맨션,84.13,25800,1978,2017-02-09,9,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.838,34000,2015,2017-02-01,18,안심~하양 연장,개통 전
교동,노마즈하우스,14.598,6500,2014,2017-02-06,14,안심~하양 연장,개통 전
대봉동,대봉화성파크드림,84.0484,33500,2006,2017-02-09,14,안심~하양 연장,개통 전
대봉동,청운맨션,84.93,26800,1986,2017-02-08,6,안심~하양 연장,개통 전
대봉동,청구맨션,84.13,24700,1978,2017-02-22,7,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,84.9343,40900,2014,2017-02-09,16,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,84.9343,39500,2014,2017-02-02,5,안심~하양 연장,개통 전
동산동,동산맨션,47.17,12400,1986,2017-02-23,11,안심~하양 연장,개통 전
남산동,극동스타클래스남산,84.985,36500,2014,2017-02-05,4,안심~하양 연장,개통 전
동인동3가,동삼(88-0),44.325,9000,1984,2017-02-07,1,안심~하양 연장,개통 전
동인동3가,동삼(88-0),50.4,5000,1984,2017-02-01,5,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.8748,30600,2014,2017-02-14,24,안심~하양 연장,개통 전
남산동,송림맨션,59.99,17600,1992,2017-02-15,9,안심~하양 연장,개통 전
대봉동,청운맨션,167.15,41100,1986,2017-02-01,4,안심~하양 연장,개통 전
남산동,남산그린타운,53.4089,22900,2005,2017-02-06,6,안심~하양 연장,개통 전
교동,노마즈하우스,12.652,6400,2014,2017-02-14,11,안심~하양 연장,개통 전
남산동,허브스카이,139.07,35000,2006,2017-02-10,17,안심~하양 연장,개통 전
남산동,남산그린타운,84.9597,30500,2005,2017-02-08,12,안심~하양 연장,개통 전
도원동,도원,38.91,5000,1976,2017-02-06,5,안심~하양 연장,개통 전
도원동,도원,40.23,7000,1976,2017-02-07,5,안심~하양 연장,개통 전
동산동,동산맨션,84.87,22000,1986,2017-03-30,5,안심~하양 연장,개통 전
대봉동,센트로팰리스,141.466,57000,2007,2017-03-21,33,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,84.9397,40000,2014,2017-03-24,21,안심~하양 연장,개통 전
남산동,극동스타클래스남산,78.8617,36400,2014,2017-03-19,20,안심~하양 연장,개통 전
봉산동,봉산뜨란채,59.38,28800,2006,2017-03-29,11,안심~하양 연장,개통 전
남산동,청라센트럴파크,76.99,32300,2008,2017-03-21,21,안심~하양 연장,개통 전
삼덕동3가,삼덕청아람,84.7978,43000,2013,2017-03-29,30,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,84.9343,40500,2014,2017-03-13,17,안심~하양 연장,개통 전
남산동,극동스타클래스남산,84.8336,40800,2014,2017-03-20,9,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,116.5842,49800,2014,2017-03-13,4,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.838,40000,2015,2017-03-15,2,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.838,42650,2015,2017-03-18,24,안심~하양 연장,개통 전
남산동,남산그린타운,69.2406,26000,2005,2017-03-06,20,안심~하양 연장,개통 전
삼덕동3가,삼덕청아람,84.5739,40800,2013,2017-03-25,5,안심~하양 연장,개통 전
동인동3가,삼익맨션,110.05,23000,1977,2017-03-31,3,안심~하양 연장,개통 전
대신동,대신센트럴자이,84.924,42500,2015,2017-03-25,8,안심~하양 연장,개통 전
남산동,보성황실타운,84.985,27500,1993,2017-03-15,13,안심~하양 연장,개통 전
남산동,남산그린타운,84.9597,31200,2005,2017-03-31,20,안심~하양 연장,개통 전
남산동,까치,53.6,12500,1992,2017-03-03,10,안심~하양 연장,개통 전
남산동,반월당효성해링턴플레이스,84.9609,40400,2014,2017-03-18,8,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.8748,30600,2014,2017-03-15,14,안심~하양 연장,개통 전
남산동,청라센트럴파크,84.99,36200,2008,2017-03-29,17,안심~하양 연장,개통 전
남산동,극동스타클래스남산,59.52,30700,2014,2017-03-10,14,안심~하양 연장,개통 전
대봉동,대봉화성파크드림,84.0484,31300,2006,2017-03-29,4,안심~하양 연장,개통 전
