법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
고촌읍 신곡리,숲속마을대우,134.83,34000,2000,2016-01-13,4,운양역,개통 전
장기동,청송마을(현대3),84.281,26700,2001,2016-01-30,5,운양역,개통 전
감정동,김포한강신안실크밸리3차,84.8026,28650,2012,2016-01-30,6,운양역,개통 전
운양동,모담마을한강화성파크드림,84.999,29900,2012,2016-01-30,5,운양역,개통 전
장기동,청송마을(현대2),205.854,43500,2001,2016-01-29,13,운양역,개통 전
북변동,풍년마을(한라),59.97,21200,1998,2016-01-28,1,운양역,개통 전
고촌읍 신곡리,오룡마을한화,84.993,31500,2002,2016-01-27,6,운양역,개통 전
풍무동,풍무자이1단지,84.7251,33650,2010,2016-01-25,11,운양역,개통 전
풍무동,풍무자이2단지,106.4038,37800,2010,2016-01-30,12,운양역,개통 전
풍무동,풍무자이1단지,106.4038,37000,2010,2016-01-31,9,운양역,개통 전
풍무동,당곡마을(범양),59.794,17500,1998,2016-01-20,2,운양역,개통 전
장기동,청송마을(현대3),84.281,25400,2001,2016-01-29,3,운양역,개통 전
풍무동,유현마을(현대프라임빌),118.63,29500,2003,2016-01-27,2,운양역,개통 전
운양동,한강신도시롯데캐슬,122.847,49904,2014,2016-01-23,21,운양역,개통 전
고촌읍 신곡리,수기마을힐스테이트2단지,152.07,58500,2008,2016-01-20,13,운양역,개통 전
운양동,김포한강신도시반도유보라2차,59.1119,33000,2013,2016-01-15,19,운양역,개통 전
장기동,한강호반베르디움,59.9412,26400,2012,2016-01-29,15,운양역,개통 전
장기동,고창마을(케이씨씨스위첸),59.984,26400,2011,2016-01-29,16,운양역,개통 전
북변동,동변마을(동양파라곤),124.46,27400,2006,2016-01-15,5,운양역,개통 전
풍무동,대림e-편한세상,79.369,24000,2003,2016-01-26,3,운양역,개통 전
풍무동,대림e-편한세상,79.5108,25000,2003,2016-01-20,9,운양역,개통 전
양촌읍 양곡리,희영아파트(곡촌마을),59.81,14000,1999,2016-01-19,12,운양역,개통 전
장기동,한강호반베르디움,59.9695,27100,2012,2016-01-16,7,운양역,개통 전
운양동,한강신도시롯데캐슬,122.7335,48900,2014,2016-01-21,9,운양역,개통 전
운양동,김포한강신도시반도유보라2차,59.1119,32600,2013,2016-01-17,19,운양역,개통 전
양촌읍 양곡리,김포한강 신원 아침도시 고다니,84.92,25500,2010,2016-01-30,10,운양역,개통 전
고촌읍 신곡리,오룡마을한화,84.993,28700,2002,2016-01-25,2,운양역,개통 전
구래동,한가람마을(우미린),105.7897,37700,2011,2016-01-20,10,운양역,개통 전
감정동,신안실크밸리2,84.705,17600,2001,2016-01-27,6,운양역,개통 전
장기동,한강현대성우오스타,101.94,35500,2012,2016-01-09,5,운양역,개통 전
북변동,풍년마을(서광),84.74,24700,1999,2016-01-20,11,운양역,개통 전
고촌읍 신곡리,수기마을힐스테이트1단지,101.92,40000,2008,2016-01-15,10,운양역,개통 전
장기동,고창마을(자연앤어울림),84.85,29800,2009,2016-01-19,10,운양역,개통 전
고촌읍 신곡리,등촌마을청구,59.98,22000,2000,2016-01-24,1,운양역,개통 전
감정동,삼환,101.94,23500,1995,2016-01-25,9,운양역,개통 전
사우동,김포,45.18,7900,1986,2016-01-27,4,운양역,개통 전
감정동,푸른마을(신안),84.886,22000,2001,2016-01-05,7,운양역,개통 전
장기동,청송마을(현대2),205.854,46000,2001,2016-01-07,3,운양역,개통 전
감정동,김포한강신안실크밸리3차,84.8026,28000,2012,2016-01-29,1,운양역,개통 전
운양동,풍경마을한강한라비발디,105.9775,40000,2013,2016-01-15,8,운양역,개통 전
풍무동,당곡마을(월드메르디앙),79.9966,24900,2002,2016-01-23,2,운양역,개통 전
풍무동,신안,84.85,20000,1997,2016-01-14,1,운양역,개통 전
풍무동,유현마을(현대프라임빌),84.96,30000,2003,2016-01-15,1,운양역,개통 전
풍무동,유현마을(현대프라임빌),176.65,40500,2003,2016-01-15,19,운양역,개통 전
감정동,김포한강신안실크밸리3차,153.2305,39800,2012,2016-01-23,4,운양역,개통 전
풍무동,유현마을(현대프라임빌),134.52,33800,2003,2016-01-09,15,운양역,개통 전
풍무동,신안,59.88,18000,1997,2016-01-26,16,운양역,개통 전
풍무동,신안,59.88,16900,1997,2016-01-27,3,운양역,개통 전
풍무동,유현마을(신동아),115.79,27600,1999,2016-01-16,14,운양역,개통 전
운양동,전원마을(월드5차3단지),84.98,23900,2000,2016-01-22,1,운양역,개통 전
운양동,전원마을(월드3차1단지),59.5305,17900,1999,2016-01-22,1,운양역,개통 전
운양동,한강신도시푸르지오,59.9979,29000,2013,2016-01-13,9,운양역,개통 전
