법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
성안동,신성그린빌,105.205,10000,2005,2006-01-10,7,울산역,개통 전
학산동,코코타운,61.2,8050,1994,2006-01-25,10,울산역,개통 전
우정동,선경1차,84.65,19300,1994,2006-01-26,5,울산역,개통 전
태화동,한라궁전맨션,84.869,9700,1989,2006-01-24,12,울산역,개통 전
약사동,삼성래미안,84.9114,23300,2001,2006-01-29,11,울산역,개통 전
우정동,선경1차,84.65,16200,1994,2006-01-30,12,울산역,개통 전
약사동,삼성래미안,59.9458,14000,2001,2006-01-25,3,울산역,개통 전
태화동,태화일신,59.84,7500,1997,2006-01-26,5,울산역,개통 전
반구동,현대타워맨션,74.82,6850,1990,2006-01-25,14,울산역,개통 전
우정동,선경1차,59.335,7450,1994,2006-01-26,5,울산역,개통 전
우정동,선경1차,59.335,8500,1994,2006-01-23,22,울산역,개통 전
학산동,정림탑스빌,65.6046,10400,2004,2006-01-28,11,울산역,개통 전
성남동,한사랑,70.825,6500,2002,2006-01-25,6,울산역,개통 전
서동,구룡골든맨션,59.82,5900,1996,2006-01-24,6,울산역,개통 전
학성동,남운학성타운,133.76,12500,1991,2006-01-20,10,울산역,개통 전
서동,두강팔레스맨션,81.75,7850,1996,2006-01-23,9,울산역,개통 전
복산동,남운럭키,84.85,12600,1989,2006-01-23,11,울산역,개통 전
교동,청일행복마을,79.5558,11700,2002,2006-01-26,3,울산역,개통 전
다운동,다운현대,59.93,6550,1999,2006-01-14,4,울산역,개통 전
남외동,선화,61.18,4800,1981,2006-01-25,4,울산역,개통 전
서동,한라강변,70.25,6000,1993,2006-01-19,6,울산역,개통 전
유곡동,양지,82.08,8300,1987,2006-01-31,5,울산역,개통 전
약사동,삼성래미안,84.9114,20650,2001,2006-01-20,2,울산역,개통 전
서동,서동현대,49.955,4200,1992,2006-01-12,3,울산역,개통 전
성안동,성안금호타운,74.69,10200,1998,2006-01-18,11,울산역,개통 전
태화동,삼익그린맨션,93.69,9000,1993,2006-01-20,7,울산역,개통 전
태화동,희마비아이피맨션,67.24,6500,1990,2006-01-16,4,울산역,개통 전
다운동,다운삼성,132.48,18000,1997,2006-01-31,10,울산역,개통 전
반구동,용인그린맨션,84.735,9000,2000,2006-01-16,5,울산역,개통 전
반구동,현대타워맨션,74.82,7550,1990,2006-01-19,12,울산역,개통 전
우정동,선경2차,59.74,9500,1997,2006-01-20,4,울산역,개통 전
우정동,선경1차,84.65,13600,1994,2006-01-11,3,울산역,개통 전
우정동,선경2차,59.74,10600,1997,2006-01-13,22,울산역,개통 전
성안동,세영파크홈3차,84.5177,14400,2004,2006-01-13,2,울산역,개통 전
태화동,삼익세라믹,84.31,9400,1990,2006-01-19,6,울산역,개통 전
다운동,다운,49.59,5000,1992,2006-01-20,4,울산역,개통 전
성안동,벽산e빌리지,84.7692,17500,2004,2006-01-16,11,울산역,개통 전
서동,서동현대,49.955,4200,1992,2006-01-18,10,울산역,개통 전
학성동,신화맨숀,55.17,2730,1979,2006-01-11,3,울산역,개통 전
복산동,남운럭키,66.47,7750,1989,2006-01-13,8,울산역,개통 전
학성동,남경파크,81.4266,11000,2003,2006-01-10,3,울산역,개통 전
성안동,성안금호타운,74.69,9700,1998,2006-01-12,7,울산역,개통 전
태화동,진영동부,84.78,13500,1994,2006-01-09,19,울산역,개통 전
서동,우현에덴맨션,52.425,3750,1992,2006-01-12,3,울산역,개통 전
성안동,경동햇빛마을,84.7548,11800,2001,2006-01-14,7,울산역,개통 전
학산동,코코타운,46.98,3800,1994,2006-01-20,13,울산역,개통 전
반구동,현대그랜드맨션,63.0,5700,1993,2006-01-11,12,울산역,개통 전
성안동,벽산e빌리지,84.7692,17300,2004,2006-01-27,11,울산역,개통 전
북정동,복산맨션(5동),75.21,3300,1978,2006-01-27,2,울산역,개통 전
다운동,다운삼성,59.52,7200,1997,2006-01-31,1,울산역,개통 전
성안동,노블레스빌,117.3493,13000,2005,2006-01-15,3,울산역,개통 전
우정동,선경2차,84.94,15000,1997,2006-01-24,15,울산역,개통 전
태화동,진영동부,84.78,6300,1994,2006-01-23,13,울산역,개통 전
반구동,현대글로리아맨션,71.8,5200,1991,2006-01-23,5,울산역,개통 전
동동,홍일,55.32,2500,1988,2006-01-20,3,울산역,개통 전
반구동,세한프리빌,84.9679,15350,2005,2006-01-16,2,울산역,개통 전
우정동,선경2차,84.94,11000,1997,2006-01-23,9,울산역,개통 전
약사동,극동,70.05,5450,1987,2006-01-19,4,울산역,개통 전
서동,한라강변,70.25,6000,1993,2006-01-20,13,울산역,개통 전
다운동,다운,49.59,5357,1992,2006-01-19,5,울산역,개통 전
태화동,선경맨션,84.81,8000,1990,2006-01-19,15,울산역,개통 전
반구동,동산맨션,84.89,5200,1994,2006-01-18,1,울산역,개통 전
태화동,양지동산맨션,77.74,7500,1990,2006-01-18,12,울산역,개통 전
성안동,펠리스뷰,84.56,11900,2005,2006-01-18,6,울산역,개통 전
서동,한라하야트,84.85,8300,1993,2006-01-09,10,울산역,개통 전
반구동,현대그랜드맨션,63.0,4850,1993,2006-01-03,1,울산역,개통 전
태화동,구룡유토빌,80.22,8500,2001,2006-01-17,3,울산역,개통 전
다운동,한라동아,59.925,7300,2002,2006-01-13,1,울산역,개통 전
반구동,홍실,50.81,2700,1982,2006-01-10,1,울산역,개통 전
태화동,태화일신,84.72,10000,1997,2006-01-09,13,울산역,개통 전
유곡동,양지,82.08,7000,1987,2006-01-06,2,울산역,개통 전
서동,하니콤타워,74.64,5850,1994,2006-01-06,5,울산역,개통 전
다운동,다운,49.59,4450,1992,2006-01-06,4,울산역,개통 전
태화동,새운임대,42.84,3800,1985,2006-01-03,6,울산역,개통 전
반구동,유로캐슬,84.11,15000,2005,2006-02-06,11,울산역,개통 전
우정동,선경2차,84.94,19650,1997,2006-02-27,12,울산역,개통 전
우정동,선경2차,59.74,9550,1997,2006-02-27,1,울산역,개통 전
반구동,현대그랜드맨션,63.0,5750,1993,2006-02-24,11,울산역,개통 전
남외동,경진,57.81,3200,1983,2006-02-17,1,울산역,개통 전
학성동,창우크리스탈,83.66,12900,2005,2006-02-28,5,울산역,개통 전
반구동,현대글로리아맨션,74.97,6900,1991,2006-02-28,5,울산역,개통 전
반구동,금성,52.91,4500,1983,2006-02-24,5,울산역,개통 전
학성동,신화맨숀,63.11,4450,1979,2006-02-28,2,울산역,개통 전
약사동,삼성래미안,84.9114,20000,2001,2006-02-25,3,울산역,개통 전
서동,하니콤타워,83.16,7200,1994,2006-02-27,9,울산역,개통 전
서동,한라하야트,84.85,8000,1993,2006-02-13,1,울산역,개통 전
서동,서동현대,49.955,3500,1992,2006-02-25,2,울산역,개통 전
복산동,동아맨션(34-1),45.41,3900,1982,2006-02-27,3,울산역,개통 전
다운동,다운현대,84.9,16800,1999,2006-02-27,8,울산역,개통 전
