법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
수성동4가,수성보성,134.97,44000,1996,2017-01-21,19,월배역,개통 전
범어동,경남타운,84.55,53000,1982,2017-01-24,11,월배역,개통 전
사월동,사월보성,59.97,16500,1996,2017-01-16,10,월배역,개통 전
지산동,지산대우로얄,144.4811,32500,1999,2017-01-09,7,월배역,개통 전
범어동,범어월드메르디앙웨스턴카운티,132.6887,64900,2008,2017-01-13,10,월배역,개통 전
범어동,범어STX칸,111.3433,60000,2010,2017-01-18,10,월배역,개통 전
두산동,대우트럼프월드수성,116.27,54000,2007,2017-01-25,31,월배역,개통 전
두산동,대우트럼프월드수성,84.7,51850,2007,2017-01-23,36,월배역,개통 전
두산동,수성SK리더스뷰,110.6078,72000,2010,2017-01-23,10,월배역,개통 전
만촌동,더테라스,84.3817,27000,2016,2017-01-25,4,월배역,개통 전
황금동,KOASIS,145.956,41200,2004,2017-01-23,8,월배역,개통 전
범어동,유림노르웨이숲,130.6444,81800,2006,2017-01-20,13,월배역,개통 전
수성동2가,롬바드,84.995,51700,2011,2017-01-26,8,월배역,개통 전
수성동3가,수성3가롯데캐슬,136.2176,74500,2008,2017-01-30,11,월배역,개통 전
시지동,고산노변타운,59.75,22300,1996,2017-01-31,10,월배역,개통 전
범어동,장원맨션,121.34,59500,1988,2017-01-27,7,월배역,개통 전
만촌동,만촌우방타운1단지,59.73,27000,1997,2017-01-17,11,월배역,개통 전
수성동4가,대림이편한세상,84.9327,43000,2005,2017-01-24,18,월배역,개통 전
범어동,e편한세상범어,84.791,48500,2015,2017-01-25,13,월배역,개통 전
지산동,지산2단지,54.12,15400,1991,2017-01-13,1,월배역,개통 전
범어동,범어월드메르디앙웨스턴카운티,132.6887,65500,2008,2017-01-31,8,월배역,개통 전
파동,수성못코오롱하늘채,84.8355,36000,2013,2017-01-23,13,월배역,개통 전
수성동3가,수성3가롯데캐슬,184.2963,104500,2008,2017-01-20,10,월배역,개통 전
신매동,사월화성파크드림(3단지),123.4769,58400,2006,2017-01-12,17,월배역,개통 전
수성동1가,신세계타운,134.79,45000,1989,2017-01-26,8,월배역,개통 전
수성동1가,신세계타운,84.98,31000,1989,2017-01-25,12,월배역,개통 전
지산동,지산한라타운,59.85,17000,1991,2017-01-19,7,월배역,개통 전
매호동,하나타운,49.92,18700,1995,2017-01-21,12,월배역,개통 전
수성동1가,동양엘레브,123.989,50800,2006,2017-01-24,14,월배역,개통 전
상동,수성동일하이빌레이크시티,134.9125,72000,2009,2017-01-09,14,월배역,개통 전
수성동1가,태왕아너스클럽,129.1071,44800,2005,2017-01-23,6,월배역,개통 전
지산동,현대맨션,84.87,21500,1991,2017-01-23,1,월배역,개통 전
수성동4가,쌍용화성,60.0,25000,1996,2017-01-24,12,월배역,개통 전
수성동4가,우방사랑마을,134.76,42000,1996,2017-01-14,11,월배역,개통 전
황금동,우방2,76.44,37000,1986,2017-01-31,5,월배역,개통 전
수성동4가,수성하이츠,186.313,51000,2000,2017-01-10,8,월배역,개통 전
파동,송원맨션,84.99,22950,1989,2017-01-15,8,월배역,개통 전
욱수동,시지5태왕하이츠,84.7132,36500,2004,2017-01-21,2,월배역,개통 전
매호동,매호효성백년가약,117.5658,44000,2006,2017-01-26,5,월배역,개통 전
