법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
교문동,구리두산,59.99,30450,1991,2017-01-25,5,장자호수공원역,개통 전
인창동,동원베네스트,59.81,31000,2004,2017-01-19,14,장자호수공원역,개통 전
수택동,금호베스트빌,134.1031,88000,2001,2017-01-27,14,장자호수공원역,개통 전
인창동,주공2,49.95,25300,1997,2017-01-18,14,장자호수공원역,개통 전
인창동,다우림,84.9324,28000,2006,2017-01-21,12,장자호수공원역,개통 전
인창동,삼환,99.97,44300,1996,2017-01-21,16,장자호수공원역,개통 전
교문동,교문(대우),61.221,31400,1994,2017-01-14,17,장자호수공원역,개통 전
토평동,에스케이신일,84.7406,34800,2001,2017-01-14,10,장자호수공원역,개통 전
교문동,구리(우성),133.93,49500,1994,2017-01-24,2,장자호수공원역,개통 전
토평동,우남,59.6514,28500,2000,2017-01-14,9,장자호수공원역,개통 전
인창동,신일,99.97,40300,1996,2017-01-15,6,장자호수공원역,개통 전
토평동,삼성,134.887,67000,2001,2017-01-13,18,장자호수공원역,개통 전
인창동,원일가대라곡,59.999,33250,2005,2017-01-16,13,장자호수공원역,개통 전
인창동,주공1,58.14,29500,1996,2017-01-16,9,장자호수공원역,개통 전
수택동,원일(555),70.65,26750,1989,2017-01-11,1,장자호수공원역,개통 전
인창동,삼보,114.69,45000,1996,2017-01-12,5,장자호수공원역,개통 전
수택동,구리태영데시앙,74.64,40000,2014,2017-01-10,14,장자호수공원역,개통 전
수택동,영진,59.88,19000,2004,2017-01-20,3,장자호수공원역,개통 전
인창동,주공1,58.14,27000,1996,2017-01-26,2,장자호수공원역,개통 전
토평동,삼성,99.078,54000,2001,2017-01-03,18,장자호수공원역,개통 전
인창동,구리인창금호어울림,67.8503,28500,2006,2017-01-18,8,장자호수공원역,개통 전
수택동,우림,84.96,30900,1999,2017-01-17,9,장자호수공원역,개통 전
인창동,주공1,58.14,28500,1996,2017-01-05,13,장자호수공원역,개통 전
인창동,주공4-2,59.98,28900,1996,2017-01-18,9,장자호수공원역,개통 전
인창동,인창이편한세상,59.979,29900,2004,2017-01-11,14,장자호수공원역,개통 전
토평동,상록,84.404,41500,2002,2017-01-24,6,장자호수공원역,개통 전
갈매동,한라비발디,84.61,37000,2016,2017-01-23,29,장자호수공원역,개통 전
교문동,삼산,53.62,14800,1991,2017-01-11,2,장자호수공원역,개통 전
수택동,원일(555),58.32,20500,1989,2017-01-19,1,장자호수공원역,개통 전
토평동,한일,59.784,33000,2001,2017-01-10,2,장자호수공원역,개통 전
인창동,대명(610-20),56.61,18800,1989,2017-01-20,4,장자호수공원역,개통 전
인창동,원일아름,84.75,31300,1998,2017-01-15,8,장자호수공원역,개통 전
교문동,한가람아파트,84.92,40000,1994,2017-01-02,6,장자호수공원역,개통 전
토평동,에스케이신일,84.7406,37800,2001,2017-01-11,15,장자호수공원역,개통 전
교문동,한성,84.99,39700,1990,2017-01-31,3,장자호수공원역,개통 전
토평동,토평마을 e편한세상,84.599,49700,2001,2017-01-05,18,장자호수공원역,개통 전
수택동,럭키,59.34,26000,1992,2017-01-14,5,장자호수공원역,개통 전
수택동,동진뱅크빌,26.43,11700,2011,2017-01-06,6,장자호수공원역,개통 전
수택동,동진뱅크빌,20.51,9000,2011,2017-01-03,6,장자호수공원역,개통 전
교문동,장자마을동양,118.647,58000,2001,2017-01-12,20,장자호수공원역,개통 전
수택동,토평주공,59.92,30900,2002,2017-01-03,4,장자호수공원역,개통 전
인창동,노엘하이빌101동,59.85,17400,2005,2017-01-08,3,장자호수공원역,개통 전
수택동,남양아이좋은집,84.9965,34500,2004,2017-01-07,7,장자호수공원역,개통 전
인창동,주공6,49.67,28000,1996,2017-01-09,12,장자호수공원역,개통 전
인창동,삼보,114.69,49000,1996,2017-01-16,12,장자호수공원역,개통 전
인창동,동양주택조합,84.98,36900,2002,2017-01-21,17,장자호수공원역,개통 전
인창동,삼보,101.94,42000,1996,2017-01-14,15,장자호수공원역,개통 전
수택동,대림한숲,62.25,31800,1995,2017-01-20,8,장자호수공원역,개통 전
인창동,주공1,58.14,27000,1996,2017-01-05,3,장자호수공원역,개통 전
인창동,아름마을삼성,84.9506,33200,2000,2017-01-21,9,장자호수공원역,개통 전
인창동,한진,84.973,30000,2002,2017-01-19,18,장자호수공원역,개통 전
인창동,인창2차e-편한세상,84.369,44800,2006,2017-01-23,15,장자호수공원역,개통 전
교문동,한성,71.79,33700,1990,2017-01-23,1,장자호수공원역,개통 전
토평동,신명스카이뷰,81.5101,32500,2006,2017-01-20,2,장자호수공원역,개통 전
