법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
공세동,대주피오레2단지,150.2849,57963,2009,2010-01-27,5,전대·에버랜드역,개통 전
신갈동,갈현마을현대홈타운,59.959,22000,2001,2010-01-31,2,전대·에버랜드역,개통 전
서천동,현대홈타운,115.976,40000,2002,2010-01-27,19,전대·에버랜드역,개통 전
마북동,교동마을정광아파트,84.978,22600,1997,2010-01-30,5,전대·에버랜드역,개통 전
중동,동백역한라비발디(어은목마을),128.295,55000,2006,2010-01-29,14,전대·에버랜드역,개통 전
영덕동,흥덕우미린 레이크포레,84.97,37000,2009,2010-01-25,15,전대·에버랜드역,개통 전
상하동,용인상하진흥더루벤스1단지,152.4654,59990,2008,2010-01-18,8,전대·에버랜드역,개통 전
보라동,신창미션힐,84.9715,25800,2002,2010-01-20,12,전대·에버랜드역,개통 전
마북동,연원마을삼성쉐르빌,148.83,49000,2002,2010-01-23,11,전대·에버랜드역,개통 전
보정동,행원마을동아솔레시티,133.035,53900,2003,2010-01-30,12,전대·에버랜드역,개통 전
보정동,신촌마을포스홈타운1단지,101.7132,50500,2004,2010-01-22,19,전대·에버랜드역,개통 전
마북동,교동마을엘지,123.574,37000,2001,2010-01-16,15,전대·에버랜드역,개통 전
보정동,죽현마을아이파크,84.7616,45000,2004,2010-01-19,10,전대·에버랜드역,개통 전
보정동,죽현마을아이파크,84.7616,47850,2004,2010-01-18,8,전대·에버랜드역,개통 전
보정동,경성아트빌,84.6,26000,2001,2010-01-20,7,전대·에버랜드역,개통 전
보정동,신촌마을포스홈타운1단지,133.7209,62000,2004,2010-01-23,16,전대·에버랜드역,개통 전
동백동,모아미래도1단지아파트,59.735,19000,2006,2010-01-16,10,전대·에버랜드역,개통 전
보정동,신촌마을포스홈타운1단지,133.7209,61000,2004,2010-01-19,6,전대·에버랜드역,개통 전
마북동,연원마을삼성쉐르빌,184.428,53000,2002,2010-01-12,10,전대·에버랜드역,개통 전
