법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
서현동,시범우성,84.6,53300,1991,2008-01-31,6,정자역,개통 전
구미동,하얀마을(5단지)(주공),35.28,17700,1995,2008-01-10,5,정자역,개통 전
정자동,느티마을(3단지)(공무원),58.71,51000,1994,2008-01-30,12,정자역,개통 전
금곡동,청솔마을(주공9단지),36.54,15100,1995,2008-01-23,15,정자역,개통 전
금곡동,청솔마을(주공9단지),36.54,16500,1995,2008-01-24,7,정자역,개통 전
이매동,이매촌(진흥),59.58,41500,1993,2008-01-30,14,정자역,개통 전
수내동,"양지마을(6단지)(금호,청구)",55.44,35000,1992,2008-01-16,8,정자역,개통 전
이매동,이매촌(한신),50.1,29000,1992,2008-01-20,12,정자역,개통 전
구미동,무지개(4단지)(주공),49.67,25350,1995,2008-01-22,11,정자역,개통 전
구미동,까치마을(1단지)(대우롯데선경),51.32,28400,1995,2008-01-19,4,정자역,개통 전
야탑동,매화마을(주공4),35.28,15400,1993,2008-01-22,7,정자역,개통 전
야탑동,목련마을SK,59.93,25000,1998,2008-01-31,6,정자역,개통 전
야탑동,매화마을(주공3),49.77,31700,1993,2008-01-30,7,정자역,개통 전
정자동,정든마을(8단지)(한진),49.5,26200,1995,2008-01-12,1,정자역,개통 전
금곡동,청솔마을(주공9단지),36.54,17500,1995,2008-01-25,10,정자역,개통 전
구미동,하얀마을(5단지)(주공),39.01,16500,1995,2008-01-17,9,정자역,개통 전
서현동,시범한양,35.1,17400,1991,2008-01-24,3,정자역,개통 전
야탑동,탑마을(주공),35.28,17000,1993,2008-01-31,4,정자역,개통 전
야탑동,장미마을(동부),59.76,31800,1993,2008-01-17,1,정자역,개통 전
구미동,하얀마을(5단지)(주공),38.07,17500,1995,2008-01-26,12,정자역,개통 전
구미동,하얀마을(5단지)(주공),38.07,16500,1995,2008-01-14,16,정자역,개통 전
금곡동,청솔마을(주공9단지),42.84,22700,1995,2008-01-17,8,정자역,개통 전
구미동,무지개(4단지)(주공),58.14,31000,1995,2008-01-26,8,정자역,개통 전
구미동,무지개(4단지)(주공),58.14,31150,1995,2008-01-17,11,정자역,개통 전
분당동,장안타운(건영),53.72,25000,1993,2008-01-20,14,정자역,개통 전
정자동,한솔마을(1단지)(청구),49.35,25100,1994,2008-01-24,10,정자역,개통 전
야탑동,매화마을공무원2,58.71,35000,1995,2008-01-23,3,정자역,개통 전
금곡동,청솔마을(주공9단지),36.54,16925,1995,2008-01-31,7,정자역,개통 전
서현동,효자촌(임광),59.73,28000,1992,2008-01-15,1,정자역,개통 전
금곡동,청솔마을(한라),58.8,37350,1995,2008-01-23,8,정자역,개통 전
금곡동,청솔마을(주공9단지),42.84,23350,1995,2008-01-10,6,정자역,개통 전
금곡동,청솔마을(대원),50.4,28500,1994,2008-01-21,10,정자역,개통 전
수내동,양지마을(5단지)(한양501-514),42.56,20700,1992,2008-01-03,5,정자역,개통 전
금곡동,청솔마을(주공9단지),36.54,16450,1995,2008-01-23,8,정자역,개통 전
정자동,한솔마을(4단지)(주공),35.28,16650,1994,2008-01-24,9,정자역,개통 전
